# at fixed P/GPa   |     phase1   |    transits to    |    phase2   |   when T increases to T/K
          784.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            2737.48
          786.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            2878.27
          788.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3016.96
          790.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3154.18
          792.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3288.20
          794.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3419.99
          796.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3548.84
          798.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3677.66
          800.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3801.92
          802.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3925.80
          804.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4045.86
          806.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4166.98
          808.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4285.64
          810.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4402.29
          812.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4519.53
          814.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4632.05
          816.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4743.10
          818.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4854.14
          820.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4962.94

          702.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2235.46
          704.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2248.08
          706.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2260.56
          708.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2272.87
          710.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2285.02
          712.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2297.03
          714.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2308.89
          716.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2320.66
          718.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2332.38
          720.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2344.08
          722.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2355.83
          724.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2367.62
          726.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2379.37
          728.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2391.01
          730.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2402.48
          732.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2413.74
          734.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2424.86
          736.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2435.88
          738.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2446.86
          740.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2457.85
          742.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2468.84
          744.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2479.77
          746.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2490.60
          748.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2501.27
          750.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2511.77
          752.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2522.17
          754.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2532.56
