# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 131.930000 (a.u.^3)
 2000.0      49.5980278877171
 2100.0      49.6264110428073
 2200.0      49.6461393608172
 2300.0      49.6603830581511
 2400.0      49.6825507226148
 2500.0      49.6861460675115
 2600.0      49.7072549367904
 2700.0      49.7135970084215
 2800.0      49.7198590370454
 2900.0      49.7388648294438
 3000.0      49.7343049855683
 3100.0      49.7474695195399
 3200.0      49.7440836822305
 3300.0      49.7675813218411
 3400.0      49.7632726225756
 3500.0      49.7577631152743
 3600.0      49.7927723687694
 3700.0      49.7487431318044
 3800.0      49.8012512036818
 3900.0      49.7695495950809
 4000.0      49.7856099094830
 4100.0      49.7911546934133
 4200.0      49.7940389385220
 4300.0      49.7716322185599
 4400.0      49.8154401619757
 4500.0      49.7788440477930
 4600.0      49.8060738707123
 4700.0      49.8117742260047
 4800.0      49.7810074885767
 4900.0      49.8156079093289
 5000.0      49.7980455721817
 5100.0      49.8001107072996
 5200.0      49.8101355703728
 5300.0      49.8088553921586
 5400.0      49.8073774288129
 5500.0      49.7995352790020
 5600.0      49.8066989576690
 5700.0      49.8300966167617
 5800.0      49.7830480822620
 5900.0      49.8210514975802
 6000.0      49.8312472857834
# V= 127.754894 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.9530122549442
  200.0      36.7593007047764
  300.0      40.6626674766890
  400.0      44.8839037505993
  500.0      46.1652265350138
  600.0      47.2840118410334
  700.0      47.8829170121226
  800.0      48.3288481972680
  900.0      48.6322025150528
 1000.0      48.8557415003262
 1100.0      49.0278161359695
 1200.0      49.1551151895568
 1300.0      49.2572907779114
 1400.0      49.3393610624490
 1500.0      49.4056079366420
 1600.0      49.4596827826891
 1700.0      49.5043291104853
 1800.0      49.5399649113505
 1900.0      49.5765432212823
 2000.0      49.5972887568974
 2100.0      49.6257064087293
 2200.0      49.6454971636384
 2300.0      49.6598198102657
 2400.0      49.6819880404187
 2500.0      49.6856944703498
 2600.0      49.7067791850829
 2700.0      49.7131871672965
 2800.0      49.7195013420491
 2900.0      49.7384649874677
 3000.0      49.7340175944961
