# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  67.5509      0.025087973
  62.6246      0.319562770
  57.9008      0.685053318
  53.4469      1.135487510
  49.2629      1.686988965
# T= 1600.000000 K
 131.9300     -0.924696751
 124.1700     -0.910474396
 116.7460     -0.889245232
 109.5930     -0.857071793
 102.7770     -0.810684600
  96.1639     -0.746670799
  89.9554     -0.660672634
  83.9494     -0.547542844
  78.2133     -0.401389687
  72.7471     -0.216405709
  67.5509      0.019407027
  62.6246      0.314161897
  57.9008      0.679907066
  53.4469      1.130586390
  49.2629      1.682299170
# T= 1700.000000 K
 131.9300     -0.934259598
 124.1700     -0.919416936
 116.7460     -0.897718582
 109.5930     -0.865133958
 102.7770     -0.818358209
  96.1639     -0.754001810
  89.9554     -0.667677809
  83.9494     -0.554233952
  78.2133     -0.407781935
  72.7471     -0.222607951
  67.5509      0.013501363
  62.6246      0.308538800
  57.9008      0.674541042
  53.4469      1.125468998
  49.2629      1.677397677
# T= 1800.000000 K
 131.9300     -0.944044480
 124.1700     -0.928581246
 116.7460     -0.906413270
 109.5930     -0.873416955
 102.7770     -0.826251589
  96.1639     -0.761552074
  89.9554     -0.674901347
  83.9494     -0.561142331
  78.2133     -0.414390032
  72.7471     -0.229024645
  67.5509      0.007382886
  62.6246      0.302705010
  57.9008      0.668966370
  53.4469      1.120145971
  49.2629      1.672294559
# T= 1900.000000 K
 131.9300     -0.954039195
 124.1700     -0.937955181
 116.7460     -0.915317227
 109.5930     -0.881908800
 102.7770     -0.834352886
  96.1639     -0.769309844
  89.9554     -0.682331645
  83.9494     -0.568256544
  78.2133     -0.421202743
  72.7471     -0.235644763
  67.5509      0.001062367
  62.6246      0.296670994
  57.9008      0.663193191
  53.4469      1.114627051
  49.2629      1.666999093
# T= 2000.000000 K
 131.9300     -0.964232805
 124.1700     -0.947527850
 116.7460     -0.924419621
 109.5930     -0.890598732
 102.7770     -0.842651440
  96.1639     -0.777264549
  89.9554     -0.689958244
  83.9494     -0.575566269
  78.2133     -0.428209906
  72.7471     -0.242458317
  67.5509     -0.005450413
  62.6246      0.290446288
  57.9008      0.657230774
  53.4469      1.108921177
  49.2629      1.661519826
# T= 2100.000000 K
 131.9300     -0.974615453
 124.1700     -0.957289432
 116.7460     -0.933710678
 109.5930     -0.899477032
 102.7770     -0.851137621
  96.1639     -0.785406626
  89.9554     -0.697771676
  83.9494     -0.583062145
  78.2133     -0.435402297
  72.7471     -0.249456221
  67.5509     -0.012146537
  62.6246      0.284039604
  57.9008      0.651087613
  53.4469      1.103036568
  49.2629      1.655864649
# T= 2200.000000 K
 131.9300     -0.985178208
 124.1700     -0.967231026
 116.7460     -0.943181536
 109.5930     -0.908534885
 102.7770     -0.859802683
  96.1639     -0.793727388
  89.9554     -0.705763327
  83.9494     -0.590735651
  78.2133     -0.442771503
  72.7471     -0.256630179
  67.5509     -0.019017850
  62.6246      0.277458928
  57.9008      0.644771514
  53.4469      1.096980799
  49.2629      1.650040856
# T= 2300.000000 K
 131.9300     -0.995912943
 124.1700     -0.977344526
 116.7460     -0.952824123
