# T (K)     Thermal pressure (GPa)
# V=  42.2446000000000
    0.0       0.0000000000000
   50.0       0.1495512808523
  100.0       0.4177734248315
  150.0       0.6399902921727
  200.0       0.8138304724858
  250.0       1.0175736592075
  300.0       1.3315494041481
  350.0       1.5723576484596
  400.0       1.7743314294171
  450.0       1.9926945558288
  500.0       2.1665741860186
  550.0       2.3866427050330
  600.0       2.6100742300711
  650.0       2.8277991765407
  700.0       0.8825258465924
  750.0       1.1056730565093
  800.0       1.3481397063423
  850.0       3.7343250590188
  900.0       3.9686835220784
  950.0       4.2115573606185
 1000.0       4.4753043158306
 1050.0       4.6934442495234
 1100.0       4.9296766266310
 1150.0       5.1242352516828
 1200.0       5.3608739192390
 1250.0       5.5932254770088
 1300.0       5.9359807275584
 1350.0       6.0583677919192
 1400.0       6.2907444110989
 1450.0       6.4906986948168
 1500.0       7.1550668793617
 1550.0       7.3746587742935
 1600.0       7.8574582284234
 1650.0       7.7599183964583
 1700.0       8.2287694733894
 1750.0       7.9735410661431
 1800.0       8.1898252061098
 1850.0       8.4168089553075
 1900.0       8.6257207658800
 1950.0       8.8617955517143
 2000.0       9.0792751184819
 2050.0       9.2977419120811
 2100.0       9.5292739886960
 2150.0       9.7511871630320
 2200.0       9.9991746724228
 2250.0      10.2302678436427
 2300.0      10.4573861560343
 2350.0      10.6647094823373
 2400.0      10.9431922934053
 2450.0      11.1743162177271
 2500.0      11.3712875730561
 2550.0      11.5857529030458
 2600.0      11.8572688463207
 2650.0      12.0114295157476
 2700.0      12.1968707525273
 2750.0      12.3874074990056
 2800.0      12.6218107198324
 2850.0      12.8215716248449
 2900.0      13.0470206137923
 2950.0      13.2753782941534
 3000.0      13.4934113677583
 3050.0      13.7168169576262
 3100.0      13.9548681528769
 3150.0      14.1815786641127
 3200.0      14.4068213312675
 3250.0      14.6314350052138
 3300.0      14.8566389492647
 3350.0      15.0815856811006
 3400.0      15.3065854265151
 3450.0      15.5294239540096
 3500.0      15.7296202693752
 3550.0      15.9529025610262
 3600.0      16.1420981995202
 3650.0      16.3629910747831
 3700.0      16.5848325109354
 3750.0      16.8232847132418
 3800.0      17.0432739895319
 3850.0      17.2615199503819
 3900.0      17.4820636970954
 3950.0      17.6994289237324
 4000.0      17.9181798528012
 4050.0      18.1652668336299
 4100.0      18.3829729411706
 4150.0      18.5940335124521
 4200.0      18.8123195437935
 4250.0      19.0644389275841
 4300.0      19.2870405435037
 4350.0      19.5085067444509
 4400.0      19.7297239889944
 4450.0      19.9480912228968
 4500.0      20.2015604114463
 4550.0      20.4257368866886
 4600.0      20.6218206238785
 4650.0      20.8438841013458
 4700.0      21.0662965195446
 4750.0      21.4029385091097
 4800.0      21.6273288923453
 4850.0      21.8557392514797
 4900.0      22.0843996694257
 4950.0      22.3133112404255
 5000.0      22.4703155183608
# V=  42.1777979797980
    0.0       0.0000000000000
   50.0       0.1496699571212
  100.0       0.4154016388063
  150.0       0.6372693122704
  200.0       0.8128433028163
  250.0       1.0170096100828
  300.0       1.3269353119656
  350.0       1.5665543356254
  400.0       1.7691138545654
  450.0       1.9872272161409
  500.0       2.1628621412715
  550.0       2.3826676828851
  600.0       2.6057496302449
  650.0       2.8233808475314
  700.0       0.9676575532344
  750.0       1.1904466601839
  800.0       1.4317376612333
  850.0       3.7278636249055
  900.0       3.9614445146485
  950.0       4.2030999473042
 1000.0       4.4648061655480
 1050.0       4.6827925052172
 1100.0       4.9181470470368
 1150.0       5.1135988594297
 1200.0       5.3493036730364
 1250.0       5.5808868605553
 1300.0       5.9182856736676
 1350.0       6.0445592490582
 1400.0       6.2761709440330
 1450.0       6.4767849577291
 1500.0       7.1224644757510
 1550.0       7.3419867964853
 1600.0       7.8135509323128
 1650.0       7.7289678982446
 1700.0       8.1872683339375
 1750.0       7.9515621076152
 1800.0       8.1677861704259
 1850.0       8.3942460757290
 1900.0       8.6034023554961
 1950.0       8.8385890128174
 2000.0       9.0559836043386
 2050.0       9.2743342857882
 2100.0       9.5051528512437
 2150.0       9.7267802242491
 2200.0       9.9734243636775
 2250.0      10.2038262188868
 2300.0      10.4304409104474
 2350.0      10.6380486498634
 2400.0      10.9139416267583
 2450.0      11.1443959157613
 2500.0      11.3420822112971
 2550.0      11.5564391296617
 2600.0      11.8258591175737
 2650.0      11.9823942106393
 2700.0      12.1690283754282
 2750.0      12.3605735394706
 2800.0      12.5940988106855
 2850.0      12.7945229080540
 2900.0      13.0195353107463
 2950.0      13.2473070163113
 3000.0      13.4652301839158
 3050.0      13.6882964770812
 3100.0      13.9254089759530
 3150.0      14.1516254368928
 3200.0      14.3764383608883
 3250.0      14.6006475327370
 3300.0      14.8254227707089
 3350.0      15.0499512734252
 3400.0      15.2745317526401
 3450.0      15.4970368139458
 3500.0      15.6978095335725
 3550.0      15.9207434969408
 3600.0      16.1110132728512
 3650.0      16.3316470005603
 3700.0      16.5532005857195
 3750.0      16.7906592570538
 3800.0      17.0104331146431
 3850.0      17.2285407355308
 3900.0      17.4488511718693
 3950.0      17.6661093750987
 4000.0      17.8846958412171
 4050.0      18.1304266396519
 4100.0      18.3480177456171
 4150.0      18.5592517379354
 4200.0      18.7773926107163
 4250.0      19.0279985842260
 4300.0      19.2502820370139
 4350.0      19.4714796913580
 4400.0      19.6924326111130
 4450.0      19.9106492805726
 4500.0      20.1625866445436
 4550.0      20.3863774321190
 4600.0      20.5832111905903
 4650.0      20.8049818766432
 4700.0      21.0270814477669
 4750.0      21.3587188722151
 4800.0      21.5827231513186
 4850.0      21.8105794728267
