# T (K)      fittedE (Ry.)      P (GPa)
# V = 42.244600 (a.u.^3)
    0.0       0.6164268439523     552.4065872662695
   50.0       0.6171162245773     552.5561385471218
  100.0       0.6181739762389     552.8243606911010
  150.0       0.6190403235207     553.0465775584422
  200.0       0.6200163609031     553.2204177387554
  250.0       0.6209665112790     553.4241609254771
  300.0       0.6219339930848     553.7381366704176
  350.0       0.6228590350570     553.9789449147291
  400.0       0.6238136592662     554.1809186956866
  450.0       0.6247545214588     554.3992818220984
  500.0       0.6257022994061     554.5731614522881
  550.0       0.6266351107205     554.7932299713025
  600.0       0.6277608912540     555.0166614963406
  650.0       0.6278986357358     555.2343864428102
  700.0       0.6289454041814     553.2891131128620
  750.0       0.6305483212914     553.5122603227788
  800.0       0.6322517166444     553.7547269726118
  850.0       0.6332185023539     556.1409123252884
  900.0       0.6330760851232     556.3752707883480
  950.0       0.6343738519382     556.6181446268880
 1000.0       0.6352001375293     556.8818915821001
 1050.0       0.6361723916672     557.1000315157929
 1100.0       0.6370693152267     557.3362638929005
 1150.0       0.6380429991818     557.5308225179523
 1200.0       0.6390264115216     557.7674611855085
 1250.0       0.6400816412598     557.9998127432783
 1300.0       0.6408923353213     558.3425679938280
 1350.0       0.6417997673254     558.4649550581887
 1400.0       0.6427316009419     558.6973316773684
 1450.0       0.6440559308590     558.8972859610864
 1500.0       0.6448765666782     559.5616541456312
 1550.0       0.6458059682835     559.7812460405630
 1600.0       0.6465680957206     560.2640454946929
 1650.0       0.6475139639590     560.1665056627278
 1700.0       0.6483869053257     560.6353567396590
 1750.0       0.6489629178496     560.3801283324126
 1800.0       0.6505460024995     560.5964124723794
 1850.0       0.6513149140691     560.8233962215770
 1900.0       0.6523130793879     561.0323080321496
 1950.0       0.6532562504100     561.2683828179838
 2000.0       0.6541427521646     561.4858623847514
 2050.0       0.6551563768775     561.7043291783506
 2100.0       0.6561238652767     561.9358612549655
 2150.0       0.6570356785526     562.1577744293015
 2200.0       0.6580305685973     562.4057619386923
 2250.0       0.6589712992467     562.6368551099122
 2300.0       0.6598948564030     562.8639734223038
 2350.0       0.6608767194871     563.0712967486069
 2400.0       0.6618405980046     563.3497795596749
 2450.0       0.6627050362830     563.5809034839966
 2500.0       0.6638277983343     563.7778748393256
 2550.0       0.6645793721250     563.9923401693153
 2600.0       0.6654581073559     564.2638561125902
 2650.0       0.6666333381746     564.4180167820172
 2700.0       0.6673863820343     564.6034580187968
 2750.0       0.6685169546537     564.7939947652751
 2800.0       0.6694243531305     565.0283979861019
 2850.0       0.6702547883559     565.2281588911144
 2900.0       0.6713687507464     565.4536078800618
 2950.0       0.6722544969691     565.6819655604229
 3000.0       0.6731553476655     565.8999986340278
 3050.0       0.6741471589597     566.1234042238957
 3100.0       0.6751130760980     566.3614554191464
 3150.0       0.6760663837525     566.5881659303823
 3200.0       0.6770083733293     566.8134085975370
 3250.0       0.6779603018139     567.0380222714833
 3300.0       0.6789108030867     567.2632262155342
 3350.0       0.6798591645332     567.4881729473701
 3400.0       0.6808131340872     567.7131726927846
 3450.0       0.6817505741940     567.9360112202792
 3500.0       0.6827210858389     568.1362075356448
 3550.0       0.6835815923691     568.3594898272958
 3600.0       0.6845467044567     568.5486854657897
 3650.0       0.6855690344459     568.7695783410526
 3700.0       0.6865442265761     568.9914197772049
 3750.0       0.6875103193536     569.2298719795114
 3800.0       0.6883828218949     569.4498612558015
 3850.0       0.6893433353908     569.6681072166514
 3900.0       0.6903034437852     569.8886509633650
 3950.0       0.6912286890795     570.1060161900019
 4000.0       0.6922853490318     570.3247671190708
 4050.0       0.6932340280943     570.5718540998994
 4100.0       0.6940285595988     570.7895602074401
 4150.0       0.6950105820644     571.0006207787217
 4200.0       0.6960363520620     571.2189068100630
 4250.0       0.6969774656407     571.4710261938536
 4300.0       0.6978899034423     571.6936278097733
 4350.0       0.6988497545714     571.9150940107204
 4400.0       0.6998183647536     572.1363112552639
 4450.0       0.7007264056561     572.3546784891663
 4500.0       0.7016888327837     572.6081476777158
 4550.0       0.7026509674183     572.8323241529581
 4600.0       0.7035961525128     573.0284078901481
 4650.0       0.7044991430250     573.2504713676153
 4700.0       0.7057344174686     573.4728837858141
 4750.0       0.7066700876114     573.8095257753793
 4800.0       0.7073431035052     574.0339161586148
 4850.0       0.7083921267930     574.2623265177492
 4900.0       0.7092866318009     574.4909869356952
 4950.0       0.7103643780738     574.7198985066950
 5000.0       0.7118105092481     574.8769027846304
# V = 42.177798 (a.u.^3)
    0.0       0.6189408428455     554.8147299906907
   50.0       0.6196298047772     554.9643999478119
  100.0       0.6206875180592     555.2301316294970
  150.0       0.6215546236682     555.4519993029611
  200.0       0.6225309910460     555.6275732935070
  250.0       0.6234789788649     555.8317396007735
  300.0       0.6244459761686     556.1416653026563
  350.0       0.6253736926745     556.3812843263161
  400.0       0.6263277848746     556.5838438452561
  450.0       0.6272699500785     556.8019572068316
  500.0       0.6282162961711     556.9775921319622
  550.0       0.6291533504074     557.1973976735758
  600.0       0.6302548269287     557.4204796209356
  650.0       0.6304934204231     557.6381108382221
  700.0       0.6315290441780     555.7823875439251
  750.0       0.6330514553508     556.0051766508745
  800.0       0.6346645177106     556.2464676519240
  850.0       0.6356263817411     558.5425936155962
  900.0       0.6356187937541     558.7761745053392
  950.0       0.6368760333528     559.0178299379949
 1000.0       0.6377151533717     559.2795361562387
 1050.0       0.6386852942188     559.4975224959079
 1100.0       0.6395846639165     559.7328770377275
 1150.0       0.6405576369013     559.9283288501204
 1200.0       0.6415410294492     560.1640336637271
