# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
  950.0    1575.8029135368351
 1000.0    1574.5324359988608
 1050.0    1574.1637363728037
 1100.0    1573.4462413712363
 1150.0    1573.5793652853083
 1200.0    1572.8342168237477
 1250.0    1572.1679351545624
 1300.0    1569.2765780453540
 1350.0    1570.8618926402939
 1400.0    1570.1932731736779
 1450.0    1570.2161069207500
 1500.0    1560.7829510772249
 1550.0    1560.4315531056652
 1600.0    1554.5954867457167
 1650.0    1560.6536645571853
 1700.0    1555.1354283454218
 1750.0    1564.4589251773937
 1800.0    1564.1257321210751
 1850.0    1563.5632209109363
 1900.0    1563.3808534167765
 1950.0    1562.6361468922314
 2000.0    1562.2892180538115
 2050.0    1561.9264990239155
 2100.0    1561.2663479578812
 2150.0    1560.8186935669601
 2200.0    1559.8391217296262
 2250.0    1559.1862495538282
 2300.0    1558.6264384693607
 2350.0    1558.4643379824272
 2400.0    1556.8471678614462
 2450.0    1556.1995990742478
 2500.0    1556.2547515778508
 2550.0    1555.8950606107221
 2600.0    1554.5129570642071
 2650.0    1555.4195037399675
 2700.0    1555.7232780704753
 2750.0    1555.9341526865019
 2800.0    1555.1806380898215
 2850.0    1555.2153500752959
 2900.0    1554.6859052570558
 2950.0    1554.0796794518387
 3000.0    1553.7171667180050
 3050.0    1553.2361275137414
 3100.0    1552.4434656156484
 3150.0    1551.8810279921456
 3200.0    1551.3509844797084
 3250.0    1550.8338258319661
 3300.0    1550.3032399523358
 3350.0    1549.7776213393824
 3400.0    1549.2506958751378
 3450.0    1548.7684595334813
 3500.0    1548.7653614508204
 3550.0    1548.2752606623037
 3600.0    1548.5354130953292
 3650.0    1548.0930769654599
 3700.0    1547.6348393914750
 3750.0    1546.8023491232000
 3800.0    1546.3813341545817
 3850.0    1546.0012453166992
 3900.0    1545.5701542961949
 3950.0    1545.2066918409730
 4000.0    1544.8124378779385
 4050.0    1543.7792241307038
 4100.0    1543.4100597844667
 4150.0    1543.1957167053088
 4200.0    1542.8106660380536
 4250.0    1541.6855024313886
 4300.0    1541.2052304716035
 4350.0    1540.7514607528724
 4400.0    1540.2995523987206
 4450.0    1539.9095247577516
 4500.0    1538.7649035774366
 4550.0    1538.2450489083651
 4600.0    1538.3462535572619
 4650.0    1537.8769253744279
 4700.0    1537.3966205035397
 4750.0    1534.3356892382792
 4800.0    1533.8096172036046
 4850.0    1533.1903147710900
 4900.0    1532.5650109703101
 4950.0    1531.9321278079087
 5000.0    1532.8315186799141
# P = 606.000000 (GPa)
    1.0    1587.5991732167427
   50.0    1587.4323502785574
  100.0    1586.0201504870042
  150.0    1585.5713824073573
  200.0    1586.0682345253397
  250.0    1585.9725626689656
  300.0    1583.8330836132927
  350.0    1582.9985891807530
  400.0    1582.9730738858075
  450.0    1582.5679133923891
  500.0    1583.0825940713037
  550.0    1582.6714473745596
  600.0    1582.2187565231513
  650.0    1581.8838668063045
  700.0    1622.9853819036964
  750.0    1622.6115499616653
  800.0    1621.8594689599490
  850.0    1579.7682780553230
  900.0    1579.1113591409783
  950.0    1578.2481757364089
 1000.0    1576.9950722061710
 1050.0    1576.6274898416111
 1100.0    1575.9173496306703
 1150.0    1576.0426527753568
 1200.0    1575.3053427647922
 1250.0    1574.6454559938300
 1300.0    1571.8000651677387
