#T (K)      V (a.u.^3)
# P= 600.000000 GPa
    0.0      40.9676423103317
   50.0      40.9715582915571
  100.0      40.9774061793021
  150.0      40.9830099146827
  200.0      40.9882708070396
  250.0      40.9937336157904
  300.0      41.0001211505360
  350.0      41.0058590200855
  400.0      41.0113576885827
  450.0      41.0169237029793
  500.0      41.0221924503576
  550.0      41.0277993558612
  600.0      41.0334600050417
  650.0      41.0390834683890
  700.0      41.0266222158463
  750.0      41.0321230639331
  800.0      41.0377794497141
  850.0      41.0618333552794
  900.0      41.0676213551458
  950.0      41.0734540473881
 1000.0      41.0795002493140
 1050.0      41.0851375197225
 1100.0      41.0909547992634
 1150.0      41.0964075169904
 1200.0      41.1022195649165
 1250.0      41.1079915607069
 1300.0      41.1148181829210
 1350.0      41.1195885026759
 1400.0      41.1253768724743
 1450.0      41.1308853927801
 1500.0      41.1409554495167
 1550.0      41.1467285111617
 1600.0      41.1550780987918
 1650.0      41.1575835600129
 1700.0      41.1658708147153
 1750.0      41.1667168685951
 1800.0      41.1723962458230
 1850.0      41.1781817382073
 1900.0      41.1837883357566
 1950.0      41.1896816385215
 2000.0      41.1953939367996
 2050.0      41.2011228532751
 2100.0      41.2069749046658
 2150.0      41.2127374903408
 2200.0      41.2187993776423
 2250.0      41.2246629708966
 2300.0      41.2304953282771
 2350.0      41.2360962730216
 2400.0      41.2425349392143
 2450.0      41.2484279585981
 2500.0      41.2539199088017
 2550.0      41.2595788223669
 2600.0      41.2660449078910
 2650.0      41.2709950508385
 2700.0      41.2763509909718
 2750.0      41.2817748404325
 2800.0      41.2876997815843
 2850.0      41.2932480008252
 2900.0      41.2990963344803
 2950.0      41.3049741790286
 3000.0      41.3107454188196
 3050.0      41.3165837340210
 3100.0      41.3226116691368
 3150.0      41.3284937221730
 3200.0      41.3343623054934
 3250.0      41.3402264030542
 3300.0      41.3461018879608
 3350.0      41.3519777988113
 3400.0      41.3578585132637
 3450.0      41.3637133445828
 3500.0      41.3692623290027
 3550.0      41.3751291427071
 3600.0      41.3805453736132
 3650.0      41.3863806774903
 3700.0      41.3922353152743
 3750.0      41.3983149603356
 3800.0      41.4041507677876
 3850.0      41.4099668863918
 3900.0      41.4158176972533
 3950.0      41.4216252814456
 4000.0      41.4274548997840
 4050.0      41.4336848919909
 4100.0      41.4395094726520
 4150.0      41.4452447904485
 4200.0      41.4510803710024
 4250.0      41.4574224709535
 4300.0      41.4633315040150
 4350.0      41.4692279758301
 4400.0      41.4751221076080
 4450.0      41.4809755550199
 4500.0      41.4873819520589
 4550.0      41.4933336579785
 4600.0      41.4988522737831
 4650.0      41.5047779346461
 4700.0      41.5107108433274
 4750.0      41.5184369283118
 4800.0      41.5244209980339
 4850.0      41.5304719558098
 4900.0      41.5365318319499
 4950.0      41.5425998824871
 5000.0      41.5474561915340
# P= 602.000000 GPa
    0.0      40.9158709687793
   50.0      40.9197766818183
  100.0      40.9255691810138
  150.0      40.9311508760575
  200.0      40.9364226503731
  250.0      40.9418757205009
  300.0      40.9481820234566
  350.0      40.9538843254748
  400.0      40.9593756114202
  450.0      40.9649210584715
  500.0      40.9702013464604
  550.0      40.9757874195389
  600.0      40.9814257278360
  650.0      40.9870309520023
  700.0      40.9759662022529
  750.0      40.9814483027153
  800.0      40.9870733738411
  850.0      41.0096806144780
  900.0      41.0154389528577
  950.0      41.0212347427395
 1000.0      41.0272301839654
 1050.0      41.0328479595570
 1100.0      41.0386335798820
 1150.0      41.0440841776866
 1200.0      41.0498636043779
 1250.0      41.0556056979087
 1300.0      41.0623246260102
 1350.0      41.0671436096419
 1400.0      41.0729019082388
 1450.0      41.0784044534920
 1500.0      41.0881357009525
 1550.0      41.0938894145025
 1600.0      41.1020245404119
 1650.0      41.1047388486976
 1700.0      41.1128229050430
 1750.0      41.1139931579809
 1800.0      41.1196539951532
 1850.0      41.1254128520285
 1900.0      41.1310062135806
 1950.0      41.1368663891630
 2000.0      41.1425595881189
 2050.0      41.1482688240905
 2100.0      41.1540906822569
 2150.0      41.1598305632117
 2200.0      41.1658508077895
 2250.0      41.1716843703976
 2300.0      41.1774899610475
 2350.0      41.1830783209628
 2400.0      41.1894524088736
 2450.0      41.1953154324167
 2500.0      41.2008025269754
 2550.0      41.2064418202136
 2600.0      41.2128513305121
 2650.0      41.2178272120979
 2700.0      41.2231871855536
 2750.0      41.2286117225987
 2800.0      41.2345028585169
 2850.0      41.2400454210263
 2900.0      41.2458678909934
 2950.0      41.2517171127487
 3000.0      41.2574684271207
 3050.0      41.2632825466529
 3100.0      41.2692750439420
 3150.0      41.2751299324108
 3200.0      41.2809725031941
 3250.0      41.2868110193573
 3300.0      41.2926604247202
 3350.0      41.2985104142231
 3400.0      41.3043651377907
 3450.0      41.3101955741249
 3500.0      41.3157375401825
 3550.0      41.3215796487906
 3600.0      41.3269983667341
 3650.0      41.3328106921306
 3700.0      41.3386417484356
 3750.0      41.3446841993660
 3800.0      41.3504977421360
 3850.0      41.3562930579011
 3900.0      41.3621212040803
 3950.0      41.3679085692004
 4000.0      41.3737168325069
 4050.0      41.3799021329290
 4100.0      41.3857062253898
 4150.0      41.3914266999428
 4200.0      41.3972411937847
 4250.0      41.4035350403390
 4300.0      41.4094194450901
 4350.0      41.4152922349521
 4400.0      41.4211627513539
 4450.0      41.4269948402287
 4500.0      41.4333519997711
 4550.0      41.4392775072620
 4600.0      41.4447928468401
 4650.0      41.4506941464862
 4700.0      41.4566022734379
 4750.0      41.4642079252147
 4800.0      41.4701653919293
 4850.0      41.4761862519697
 4900.0      41.4822157832447
 4950.0      41.4882531743708
 5000.0      41.4931360745492
# P= 604.000000 GPa
    0.0      40.8642431088419
   50.0      40.8681385445881
  100.0      40.8738766300366
  150.0      40.8794364798093
  200.0      40.8847185646924
  250.0      40.8901618087446
  300.0      40.8963884463994
  350.0      40.9020556875239
  400.0      40.9075394424692
  450.0      40.9130644797386
  500.0      40.9183557263399
  550.0      40.9239211353724
  600.0      40.9295373011301
  650.0      40.9351243903740
  700.0      40.9254251773122
  750.0      40.9308887045913
  800.0      40.9364828969208
  850.0      40.9576748636080
  900.0      40.9634039030360
  950.0      40.9691633154437
 1000.0      40.9751088315883
 1050.0      40.9807072411883
 1100.0      40.9864616038860
 1150.0      40.9919098164330
 1200.0      40.9976570427479
 1250.0      41.0033695954965
 1300.0      41.0099829364163
 1350.0      41.0148491756601
 1400.0      41.0205777616131
 1450.0      41.0260741545369
 1500.0      41.0354738964855
 1550.0      41.0412083663368
 1600.0      41.0491335650941
 1650.0      41.0520516564448
 1700.0      41.0599367760695
 1750.0      41.0614236144961
 1800.0      41.0670660075553
 1850.0      41.0727985022065
 1900.0      41.0783786080058
 1950.0      41.0842060729458
 2000.0      41.0898802782441
 2050.0      41.0955699530400
 2100.0      41.1013619682293
 2150.0      41.1070793294486
 2200.0      41.1130585321778
 2250.0      41.1188624045168
 2300.0      41.1246415008142
 2350.0      41.1302172355547
 2400.0      41.1365278440150
 2450.0      41.1423612100412
 2500.0      41.1478432383828
 2550.0      41.1534630257578
 2600.0      41.1598168753938
 2650.0      41.1648176237018
 2700.0      41.1701812353213
 2750.0      41.1756061343743
 2800.0      41.1814638846383
 2850.0      41.1870006001934
 2900.0      41.1927974534792
 2950.0      41.1986183600131
 3000.0      41.2043498675775
 3050.0      41.2101400004292
 3100.0      41.2160975069602
 3150.0      41.2219255043137
 3200.0      41.2277423045132
 3250.0      41.2335554795149
 3300.0      41.2393790503626
 3350.0      41.2452033582258
 3400.0      41.2510323350427
 3450.0      41.2568385869491
 3500.0      41.2623733783586
 3550.0      41.2681909960028
 3600.0      41.2736118463832
 3650.0      41.2794013722895
 3700.0      41.2852090383165
 3750.0      41.2912147720022
 3800.0      41.2970062094089
 3850.0      41.3027808559248
 3900.0      41.3085865042270
 3950.0      41.3143537719760
 4000.0      41.3201408234680
 4050.0      41.3262820549740
 4100.0      41.3320657826693
 4150.0      41.3377714226332
 4200.0      41.3435649665750
 4250.0      41.3498112511108
 4300.0      41.3556712330820
 4350.0      41.3615205303938
 4400.0      41.3673676107573
 4450.0      41.3731784802033
 4500.0      41.3794871166817
 4550.0      41.3853866590271
 4600.0      41.3908984884949
 4650.0      41.3967756263267
 4700.0      41.4026591754266
 4750.0      41.4101465465724
 4800.0      41.4160776482620
 4850.0      41.4220687235215
 4900.0      41.4280682222218
 4950.0      41.4340752768002
 5000.0      41.4389839294166
# P= 606.000000 GPa
    0.0      40.8127577493360
   50.0      40.8166428940995
  100.0      40.8223275379140
  150.0      40.8278657354911
  200.0      40.8331575627245
  250.0      40.8385908946039
  300.0      40.8447394241577
  350.0      40.8503721069625
  400.0      40.8558481846373
  450.0      40.8613529714354
  500.0      40.8666545975859
  550.0      40.8721995063618
  600.0      40.8777937242982
  650.0      40.8833627826325
  700.0      40.8749982699696
  750.0      40.8804433953148
  800.0      40.8860071437717
  850.0      40.9058150977094
  900.0      40.9115151940839
  950.0      40.9172387537110
 1000.0      40.9231351761244
 1050.0      40.9287143447341
 1100.0      40.9344378500339
 1150.0      40.9398834140249
 1200.0      40.9455988582624
 1250.0      40.9512822295246
 1300.0      40.9577920826339
 1350.0      40.9627041722583
 1400.0      40.9684034056328
 1450.0      40.9738934682948
 1500.0      40.9829689635185
 1550.0      40.9886842946942
 1600.0      40.9964040735589
 1650.0      40.9995209110048
 1700.0      41.0072113226486
 1750.0      41.0090071871273
 1800.0      41.0146312299910
 1850.0      41.0203376381927
 1900.0      41.0259044657382
 1950.0      41.0316996349370
 2000.0      41.0373549525625
 2050.0      41.0430251859222
 2100.0      41.0487877041033
 2150.0      41.0544827303055
 2200.0      41.0604214830259
 2250.0      41.0661960099490
 2300.0      41.0719488801427
 2350.0      41.0775119520717
 2400.0      41.0837601675002
 2450.0      41.0895642148023
 2500.0      41.0950409682688
 2550.0      41.1006413637264
 2600.0      41.1069404556873
 2650.0      41.1119652074547
 2700.0      41.1173320610547
 2750.0      41.1227569992819
 2800.0      41.1285817796958
 2850.0      41.1341124660935
 2900.0      41.1398839456036
 2950.0      41.1456768408692
 3000.0      41.1513886586470
 3050.0      41.1571550132067
 3100.0      41.1630779733107
 3150.0      41.1688793506210
 3200.0      41.1746706219523
 3250.0      41.1804586937661
 3300.0      41.1862566750299
 3350.0      41.1920555439936
 3400.0      41.1978590110453
 3450.0      41.2036412875889
 3500.0      41.2091687467637
 3550.0      41.2149620899928
 3600.0      41.2203847180834
 3650.0      41.2261516215199
 3700.0      41.2319360862477
 3750.0      41.2379055762396
 3800.0      41.2436750676695
 3850.0      41.2494291788286
 3900.0      41.2552124944592
 3950.0      41.2609597824063
 4000.0      41.2667257656669
 4050.0      41.2728235470142
 4100.0      41.2785870362484
 4150.0      41.2842778446125
 4200.0      41.2900505754664
 4250.0      41.2962499825122
 4300.0      41.3020857466345
 4350.0      41.3079117387404
 4400.0      41.3137355683109
 4450.0      41.3195253536559
 4500.0      41.3257861687508
 4550.0      41.3316599828557
 4600.0      41.3371680717955
 4650.0      41.3430212406098
 4700.0      41.3488804195570
 4750.0      41.3562516475219
 4800.0      41.3621566192577
 4850.0      41.3681182203018
 4900.0      41.3740879998423
 4950.0      41.3800650339217
 5000.0      41.3849986064263
# P= 608.000000 GPa
    0.0      40.7614139144344
   50.0      40.7652887527030
  100.0      40.7709209222408
  150.0      40.7764376608927
  200.0      40.7817386661948
  250.0      40.7871619942032
  300.0      40.7932339671340
  350.0      40.7988325954632
  400.0      40.8043008490243
  450.0      40.8097855421159
  500.0      40.8150969714048
  550.0      40.8206215414379
  600.0      40.8261940086969
  650.0      40.8317451375858
  700.0      40.8246846152095
  750.0      40.8301115095404
  800.0      40.8356452479110
  850.0      40.8541003166603
  900.0      40.8597718290567
  950.0      40.8654600547887
 1000.0      40.8713082104546
 1050.0      40.8768682643847
 1100.0      40.8825613074203
 1150.0      40.8880039596245
 1200.0      40.8936880405430
 1250.0      40.8993425848844
 1300.0      40.9057510387548
 1350.0      40.9107075825452
 1400.0      40.9163778201991
 1450.0      40.9218613749521
 1500.0      40.9306198405910
 1550.0      40.9363161372824
 1600.0      40.9438349768419
 1650.0      40.9471455546568
 1700.0      40.9546454588787
