# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 110.9430     -0.761720771
# T= 1900.000000 K
 188.4475     -0.989892896
 183.1165     -0.993523429
 177.8865     -0.995818828
 172.7240     -0.996838236
 167.6965     -0.996960898
 162.7700     -0.994778936
 153.2210     -0.986367326
 144.0095     -0.968754354
 135.2030     -0.941574057
 126.7675     -0.900707998
 118.6695     -0.844399248
 110.9430     -0.769828803
# T= 2000.000000 K
 188.4475     -0.999822294
 183.1165     -1.003312444
 177.8865     -1.005458555
 172.7240     -1.006320296
 167.6965     -1.006326025
 162.7700     -1.003989398
 153.2210     -0.995352069
 144.0095     -0.977514885
 135.2030     -0.950183234
 126.7675     -0.909163606
 118.6695     -0.852742481
 110.9430     -0.778131191
# T= 2100.000000 K
 188.4475     -1.009940591
 183.1165     -1.013290354
 177.8865     -1.015287194
 172.7240     -1.015990860
 167.6965     -1.015879748
 162.7700     -1.013388372
 153.2210     -1.004525037
 144.0095     -0.986463643
 135.2030     -0.958980127
 126.7675     -0.917806527
 118.6695     -0.861272133
 110.9430     -0.786618625
# T= 2200.000000 K
 188.4475     -1.020238876
 183.1165     -1.023448252
 177.8865     -1.025295846
 172.7240     -1.025841060
 167.6965     -1.025613202
 162.7700     -1.022967010
 153.2210     -1.013877417
 144.0095     -0.995591843
 135.2030     -0.967956008
 126.7675     -0.926628088
 118.6695     -0.869979613
 110.9430     -0.795282629
# T= 2300.000000 K
 188.4475     -1.030709034
 183.1165     -1.033778031
 177.8865     -1.035476411
 172.7240     -1.035862818
 167.6965     -1.035518313
 162.7700     -1.032717249
 153.2210     -1.023401179
 144.0095     -1.004891480
 135.2030     -0.977102915
 126.7675     -0.935620374
 118.6695     -0.878857079
 110.9430     -0.804115457
# T= 2400.000000 K
 188.4475     -1.041343650
 183.1165     -1.044272279
 177.8865     -1.045821481
 172.7240     -1.046048750
 167.6965     -1.045587700
 162.7700     -1.042631719
 153.2210     -1.033088978
 144.0095     -1.014355221
 135.2030     -0.986413557
 126.7675     -0.944776132
 118.6695     -0.887897339
 110.9430     -0.813110003
# T= 2500.000000 K
 188.4475     -1.052135917
 183.1165     -1.054924196
 177.8865     -1.056324259
 172.7240     -1.056392077
 167.6965     -1.055814584
 162.7700     -1.052703651
 153.2210     -1.042934065
 144.0095     -1.023976336
 135.2030     -0.995881236
 126.7675     -0.954088697
 118.6695     -0.897093779
 110.9430     -0.822259725
# T= 2600.000000 K
 188.4475     -1.063079572
 183.1165     -1.065727518
 177.8865     -1.066978485
 172.7240     -1.066886555
 167.6965     -1.066192723
 162.7700     -1.062926809
 153.2210     -1.052930223
 144.0095     -1.033748618
 135.2030     -1.005499773
 126.7675     -0.963551917
 118.6695     -0.906440294
 110.9430     -0.831558583
# T= 2700.000000 K
 188.4475     -1.074168825
 183.1165     -1.076676460
 177.8865     -1.077778375
 172.7240     -1.077526418
 167.6965     -1.076716349
 162.7700     -1.073295432
 153.2210     -1.063071707
 144.0095     -1.043666327
 135.2030     -1.015263455
 126.7675     -0.973160103
 118.6695     -0.915931234
 110.9430     -0.841000986
# T= 2800.000000 K
 188.4475     -1.085398313
 183.1165     -1.087765661
 177.8865     -1.088718569
 172.7240     -1.088306317
 167.6965     -1.087380115
 162.7700     -1.083804176
 153.2210     -1.073353188
 144.0095     -1.053724144
 135.2030     -1.025166983
 126.7675     -0.982907976
 118.6695     -0.925561356
 110.9430     -0.850581739
# T= 2900.000000 K
 188.4475     -1.096763054
 183.1165     -1.098990139
 177.8865     -1.099794089
 172.7240     -1.099221286
 167.6965     -1.098179052
 162.7700     -1.094448079
 153.2210     -1.083769714
 144.0095     -1.063917120
 135.2030     -1.035205428
 126.7675     -0.992790624
 118.6695     -0.935325780
 110.9430     -0.860296007
# T= 3000.000000 K
 188.4475     -1.108258405
 183.1165     -1.110345254
 177.8865     -1.111000292
 172.7240     -1.110266696
 167.6965     -1.109108530
 162.7700     -1.105222514
 153.2210     -1.094316668
 144.0095     -1.074240644
 135.2030     -1.045374195
 126.7675     -1.002803468
 118.6695     -0.945219952
 110.9430     -0.870139279
