# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
   30.0      -0.5770077079060
   31.0      -0.5671764187494
   32.0      -0.5573780303558
   33.0      -0.5476120050403
   34.0      -0.5378778221888
   35.0      -0.5281749741599
   36.0      -0.5185029693235
   37.0      -0.5088613288593
   38.0      -0.4992495870517
   39.0      -0.4896672918909
   40.0      -0.4801140017332
# T= 500.000000 K
    0.0      -0.8947771093010
    1.0      -0.8835690574058
    2.0      -0.8724237275607
    3.0      -0.8613394220133
    4.0      -0.8503145239171
    5.0      -0.8393474918915
    6.0      -0.8284368549849
    7.0      -0.8175812081207
    8.0      -0.8067792079289
    9.0      -0.7960295689111
   10.0      -0.7853310599080
   11.0      -0.7746825008396
   12.0      -0.7640827596897
   13.0      -0.7535307497294
   14.0      -0.7430254270014
   15.0      -0.7325657879290
   16.0      -0.7221508670809
   17.0      -0.7117797350744
   18.0      -0.7014514965907
   19.0      -0.6911652885604
   20.0      -0.6809202789316
   21.0      -0.6707156649192
   22.0      -0.6605506712056
   23.0      -0.6504245484661
   24.0      -0.6403365730015
   25.0      -0.6302860451602
   26.0      -0.6202722873580
   27.0      -0.6102946438493
   28.0      -0.6003524804363
   29.0      -0.5904451817017
   30.0      -0.5805721512616
   31.0      -0.5707328118085
   32.0      -0.5609266018421
   33.0      -0.5511529774665
   34.0      -0.5414114107064
   35.0      -0.5317013875282
   36.0      -0.5220224104805
   37.0      -0.5123739940449
   38.0      -0.5027556677047
   39.0      -0.4931669730592
   40.0      -0.4836074639955
# T= 600.000000 K
    0.0      -0.8994302085326
    1.0      -0.8881997239665
    2.0      -0.8770327512067
    3.0      -0.8659275533711
    4.0      -0.8548824771100
    5.0      -0.8438959469618
    6.0      -0.8329664601769
    7.0      -0.8220925819690
    8.0      -0.8112729411591
    9.0      -0.8005062261779
   10.0      -0.7897911813934
   11.0      -0.7791266037330
   12.0      -0.7685113395704
   13.0      -0.7579442818507
   14.0      -0.7474243674244
   15.0      -0.7369505745691
   16.0      -0.7265219206716
   17.0      -0.7161374600504
   18.0      -0.7057962820027
   19.0      -0.6954975092511
   20.0      -0.6852402960210
   21.0      -0.6750238262494
   22.0      -0.6648473119463
   23.0      -0.6547099923749
   24.0      -0.6446111328081
   25.0      -0.6345500224923
   26.0      -0.6245259735422
   27.0      -0.6145383212096
   28.0      -0.6045864215772
   29.0      -0.5946696501089
   30.0      -0.5847874028074
   31.0      -0.5749390936673
   32.0      -0.5651241534893
   33.0      -0.5553420316068
   34.0      -0.5455921920916
   35.0      -0.5358741150033
   36.0      -0.5261872959543
   37.0      -0.5165312431121
   38.0      -0.5069054805611
   39.0      -0.4973095433192
   40.0      -0.4877429807980
# T= 700.000000 K
    0.0      -0.9046765467506
    1.0      -0.8934225443522
    2.0      -0.8822328729635
    3.0      -0.8711057546654
    4.0      -0.8600394980724
    5.0      -0.8490324922391
    6.0      -0.8380832012701
    7.0      -0.8271901593912
    8.0      -0.8163519664265
    9.0      -0.8055672836440
   10.0      -0.7948348299372
   11.0      -0.7841533783118
   12.0      -0.7735217526466
   13.0      -0.7629388247010
   14.0      -0.7524035113421
   15.0      -0.7419147719652
   16.0      -0.7314716060952
   17.0      -0.7210730513083
   18.0      -0.7107181812208
   19.0      -0.7004061034661
   20.0      -0.6901359578289
   21.0      -0.6799069144772
   22.0      -0.6697181728192
   23.0      -0.6595689602071
   24.0      -0.6494585299675
   25.0      -0.6393861599484
   26.0      -0.6293511523844
   27.0      -0.6193528324103
   28.0      -0.6093905459496
   29.0      -0.5994636599320
   30.0      -0.5895715616996
   31.0      -0.5797136561980
   32.0      -0.5698893671258
   33.0      -0.5600981358409
   34.0      -0.5503394187257
   35.0      -0.5406126897647
   36.0      -0.5309174368755
   37.0      -0.5212531626431
   38.0      -0.5116193845749
   39.0      -0.5020156316929
   40.0      -0.4924414482556
# T= 800.000000 K
    0.0      -0.9104438068532
    1.0      -0.8991654347655
    2.0      -0.8879522399285
    3.0      -0.8768024017012
    4.0      -0.8657141888447
    5.0      -0.8546859533701
