# V (a.u.^3)     Thermal pressure (GPa)
# T=     0.0
188.4475000000000       0.0000000000000
187.6646262626263       0.0000000000000
186.8817525252525       0.0000000000000
186.0988787878788       0.0000000000000
185.3160050505051       0.0000000000000
184.5331313131313       0.0000000000000
183.7502575757576       0.0000000000000
182.9673838383838       0.0000000000000
182.1845101010101       0.0000000000000
181.4016363636364       0.0000000000000
180.6187626262626       0.0000000000000
179.8358888888889       0.0000000000000
179.0530151515152       0.0000000000000
178.2701414141414       0.0000000000000
177.4872676767677       0.0000000000000
176.7043939393939       0.0000000000000
175.9215202020202       0.0000000000000
175.1386464646465       0.0000000000000
174.3557727272727       0.0000000000000
173.5728989898990       0.0000000000000
172.7900252525253       0.0000000000000
172.0071515151515       0.0000000000000
171.2242777777778       0.0000000000000
170.4414040404040       0.0000000000000
169.6585303030303       0.0000000000000
168.8756565656566       0.0000000000000
168.0927828282828       0.0000000000000
167.3099090909091       0.0000000000000
166.5270353535354       0.0000000000000
165.7441616161616       0.0000000000000
164.9612878787879       0.0000000000000
164.1784141414141       0.0000000000000
163.3955404040404       0.0000000000000
162.6126666666667       0.0000000000000
161.8297929292929       0.0000000000000
161.0469191919192       0.0000000000000
160.2640454545455       0.0000000000000
159.4811717171717       0.0000000000000
158.6982979797980       0.0000000000000
157.9154242424242       0.0000000000000
157.1325505050505       0.0000000000000
156.3496767676768       0.0000000000000
155.5668030303030       0.0000000000000
154.7839292929293       0.0000000000000
154.0010555555556       0.0000000000000
153.2181818181818       0.0000000000000
152.4353080808081       0.0000000000000
151.6524343434343       0.0000000000000
150.8695606060606       0.0000000000000
150.0866868686869       0.0000000000000
149.3038131313131       0.0000000000000
148.5209393939394       0.0000000000000
147.7380656565657       0.0000000000000
146.9551919191919       0.0000000000000
146.1723181818182       0.0000000000000
145.3894444444445       0.0000000000000
144.6065707070707       0.0000000000000
143.8236969696970       0.0000000000000
143.0408232323232       0.0000000000000
142.2579494949495       0.0000000000000
141.4750757575758       0.0000000000000
140.6922020202020       0.0000000000000
139.9093282828283       0.0000000000000
139.1264545454545       0.0000000000000
138.3435808080808       0.0000000000000
137.5607070707071       0.0000000000000
136.7778333333333       0.0000000000000
135.9949595959596       0.0000000000000
135.2120858585859       0.0000000000000
134.4292121212121       0.0000000000000
133.6463383838384       0.0000000000000
132.8634646464646       0.0000000000000
132.0805909090909       0.0000000000000
131.2977171717172       0.0000000000000
130.5148434343434       0.0000000000000
129.7319696969697       0.0000000000000
128.9490959595960       0.0000000000000
128.1662222222222       0.0000000000000
127.3833484848485       0.0000000000000
126.6004747474747       0.0000000000000
125.8176010101010       0.0000000000000
125.0347272727273       0.0000000000000
124.2518535353535       0.0000000000000
123.4689797979798       0.0000000000000
122.6861060606061       0.0000000000000
121.9032323232323       0.0000000000000
121.1203585858586       0.0000000000000
120.3374848484848       0.0000000000000
119.5546111111111       0.0000000000000
118.7717373737374       0.0000000000000
117.9888636363636       0.0000000000000
117.2059898989899       0.0000000000000
116.4231161616162       0.0000000000000
115.6402424242424       0.0000000000000
114.8573686868687       0.0000000000000
114.0744949494949       0.0000000000000
113.2916212121212       0.0000000000000
112.5087474747475       0.0000000000000
111.7258737373737       0.0000000000000
110.9430000000000       0.0000000000000
# T=   100.0
188.4475000000000       0.0429365890681
187.6646262626263       0.0427010248809
186.8817525252525       0.0424569517368
186.0988787878788       0.0422040511621
185.3160050505051       0.0419420536795
184.5331313131313       0.0416706081515
183.7502575757576       0.0413894614326
182.9673838383838       0.0410981807256
182.1845101010101       0.0407964557229
181.4016363636364       0.0404839761172
180.6187626262626       0.0401603581071
179.8358888888889       0.0398251525634
179.0530151515152       0.0394780083487
178.2701414141414       0.0391184763339
177.4872676767677       0.0387461808835
176.7043939393939       0.0383606320384
175.9215202020202       0.0379613561716
175.1386464646465       0.0375478878217
174.3557727272727       0.0371197533616
173.5728989898990       0.0366764138364
172.7900252525253       0.0362173057929
172.0071515151515       0.0357418821101
171.2242777777778       0.0352496038330
170.4414040404040       0.0347398258487
169.6585303030303       0.0342119275423
168.8756565656566       0.0336652393031
168.0927828282828       0.0330991486820
167.3099090909091       0.0325128962424
166.5270353535354       0.0319057633775
165.7441616161616       0.0312769824848
164.9612878787879       0.0306258022936
164.1784141414141       0.0299513817072
163.3955404040404       0.0292528796293
162.6126666666667       0.0285293651374
161.8297929292929       0.0277799563051
161.0469191919192       0.0270037222101
160.2640454545455       0.0261996012742
159.4811717171717       0.0253665809151
158.6982979797980       0.0245035832229
157.9154242424242       0.0236094976234
157.1325505050505       0.0226831155507
156.3496767676768       0.0217232774350
155.5668030303030       0.0207286440546
154.7839292929293       0.0196979496817
154.0010555555556       0.0186297734347
153.2181818181818       0.0175227107643
152.4353080808081       0.0163752427970
151.6524343434343       0.0151858506595
150.8695606060606       0.0139528439929
150.0866868686869       0.0126745895999
149.3038131313131       0.0113492664658
148.5209393939394       0.0099750862397
147.7380656565657       0.0085500645872
146.9551919191919       0.0070722580037
146.1723181818182       0.0055395025029
145.3894444444445       0.0039496504306
144.6065707070707       0.0023004561409
143.8236969696970       0.0005894780039
143.0408232323232      -0.0011857827718
142.2579494949495      -0.0030278903058
141.4750757575758      -0.0049395557054
140.6922020202020      -0.0069236615633
139.9093282828283      -0.0089831884645
139.1264545454545      -0.0111211251595
138.3435808080808      -0.0133408686985
137.5607070707071      -0.0156457263057
136.7778333333333      -0.0180392828486
135.9949595959596      -0.0205252456848
135.2120858585859      -0.0231075018234
134.4292121212121      -0.0257901669212
133.6463383838384      -0.0285774627927
