# P (GPa)             V (a.u.^3)
# T= 0.000000 K
-19.1096046184107     188.4475000000000
-18.6665744288386     187.6646262626263
-18.2143197214291     186.8817525252525
-17.7526085495265     186.0988787878788
-17.2812021968732     185.3160050505051
-16.7998547693104     184.5331313131313
-16.3083131702795     183.7502575757576
-15.8063166026980     182.9673838383838
-15.2935965607927     182.1845101010101
-14.7698764462987     181.4016363636364
-14.2348711928239     180.6187626262626
-13.6882871351936     179.8358888888889
-13.1298216256486     179.0530151515152
-12.5591627398704     178.2701414141414
-11.9759889585070     177.4872676767677
-11.3799687670404     176.7043939393939
-10.7707603536444     175.9215202020202
-10.1480112907116     175.1386464646465
 -9.5113580203963     174.3557727272727
 -8.8604256014688     173.5728989898990
 -8.1948271458624     172.7900252525253
 -7.5141635246979     172.0071515151515
 -6.8180228619927     171.2242777777778
 -6.1059800202034     170.4414040404040
 -5.3775961674289     169.6585303030303
 -4.6324182711189     168.8756565656566
 -3.8699785836172     168.0927828282828
 -3.0897939807164     167.3099090909091
 -2.2913655696913     166.5270353535354
 -1.4741778890315     165.7441616161616
 -0.6376984838106     164.9612878787879
  0.2186229354102     164.1784141414141
  1.0953550233715     163.3955404040404
  1.9930856167142     162.6126666666667
  2.9124223790922     161.8297929292929
  3.8539936341029     161.0469191919192
  4.8184491900520     160.2640454545455
  5.8064611483861     159.4811717171717
  6.8187247284567     158.6982979797980
  7.8559592964351     157.9154242424242
  8.9189092799023     157.1325505050505
 10.0083450987716     156.3496767676768
 11.1250643738543     155.5668030303030
 12.2698928577824     154.7839292929293
 13.4436857007359     154.0010555555556
 14.6473285610171     153.2181818181818
 15.8817389197743     152.4353080808081
 17.1478673630616     151.6524343434343
 18.4466990353841     150.8695606060606
 19.7792549299238     150.0866868686869
 21.1465935380686     149.3038131313131
 22.5498123192900     148.5209393939394
 23.9900494731616     147.7380656565657
 25.4684855480583     146.9551919191919
 26.9863453846613     146.1723181818182
 28.5448998553126     145.3894444444445
 30.1454680361671     144.6065707070707
 31.7894192405236     143.8236969696970
 33.4781751991423     143.0408232323232
 35.2132123222232     142.2579494949495
 36.9960642390277     141.4750757575758
 38.8283242885038     140.6922020202020
 40.7116481977298     139.9093282828283
 42.6477567603574     139.1264545454545
 44.6384391520017     138.3435808080808
 46.6855555760209     137.5607070707071
 48.7910408892138     136.7778333333333
 50.9569078192178     135.9949595959596
 53.1852507208629     135.2120858585859
 55.4782492590305     134.4292121212121
 57.8381725569748     133.6463383838384
 60.2673831731571     132.8634646464646
 62.7683419110121     132.0805909090909
 65.3436121060897     131.2977171717172
 67.9958648114561     130.5148434343434
 70.7278839749286     129.7319696969697
 73.5425718449585     128.9490959595960
 76.4429548093103     128.1662222222222
 79.4321894542230     127.3833484848485
 82.5135691870250     126.6004747474747
 85.6905307770882     125.8176010101010
 88.9666618358706     125.0347272727273
 92.3457082561297     124.2518535353535
 95.8315822472521     123.4689797979798
 99.4283709340363     122.6861060606061
103.1403453964388     121.9032323232323
106.9719699542999     121.1203585858586
110.9279125789753     120.3374848484848
115.0130552804696     119.5546111111111
119.2325056868043     118.7717373737374
123.5916088030368     117.9888636363636
128.0959598645218     117.2059898989899
132.7514178352855     116.4231161616162
137.5641196658367     115.6402424242424
142.5404954900659     114.8573686868687
147.6872848592246     114.0744949494949
153.0115536291838     113.2916212121212
158.5207126360428     112.5087474747475
164.2225365350584     111.7258737373737
170.1251848525557     110.9430000000000
# T= 100.000000 K
-19.0666680293426     188.4475000000000
-18.6238734039577     187.6646262626263
-18.1718627696923     186.8817525252525
-17.7104044983644     186.0988787878788
-17.2392601431937     185.3160050505051
-16.7581841611588     184.5331313131313
-16.2669237088469     183.7502575757576
-15.7652184219725     182.9673838383838
-15.2528001050698     182.1845101010101
-14.7293924701815     181.4016363636364
-14.1947108347168     180.6187626262626
-13.6484619826302     179.8358888888889
-13.0903436172999     179.0530151515152
-12.5200442635365     178.2701414141414
-11.9372427776236     177.4872676767677
-11.3416081350020     176.7043939393939
-10.7327989974728     175.9215202020202
-10.1104634028899     175.1386464646465
 -9.4742382670347     174.3557727272727
 -8.8237491876324     173.5728989898990
 -8.1586098400695     172.7900252525253
 -7.4784216425878     172.0071515151515
 -6.7827732581597     171.2242777777778
 -6.0712401943547     170.4414040404040
 -5.3433842398866     169.6585303030303
 -4.5987530318159     168.8756565656566
 -3.8368794349352     168.0927828282828
 -3.0572810844741     167.3099090909091
 -2.2594598063138     166.5270353535354
 -1.4429009065467     165.7441616161616
 -0.6070726815171     164.9612878787879
  0.2485743171174     164.1784141414141
  1.1246079030008     163.3955404040404
  2.0216149818516     162.6126666666667
  2.9402023353973     161.8297929292929
  3.8809973563130     161.0469191919192
  4.8446487913262     160.2640454545455
  5.8318277293012     159.4811717171717
  6.8432283116796     158.6982979797980
  7.8795687940584     157.9154242424242
  8.9415923954530     157.1325505050505
 10.0300683762066     156.3496767676768
 11.1457930179089     155.5668030303030
 12.2895908074641     154.7839292929293
 13.4623154741706     154.0010555555556
 14.6648512717814     153.2181818181818
 15.8981141625713     152.4353080808081
 17.1630532137211     151.6524343434343
 18.4606518793769     150.8695606060606
 19.7919295195236     150.0866868686869
 21.1579428045344     149.3038131313131
 22.5597874055298     148.5209393939394
 23.9985995377488     147.7380656565657
 25.4755578060620     146.9551919191919
 26.9918848871642     146.1723181818182
 28.5488495057432     145.3894444444445
 30.1477684923080     144.6065707070707
 31.7900087185275     143.8236969696970
 33.4769894163704     143.0408232323232
 35.2101844319174     142.2579494949495
 36.9911246833223     141.4750757575758
 38.8214006269405     140.6922020202020
 40.7026650092653     139.9093282828283
 42.6366356351978     139.1264545454545
 44.6250982833031     138.3435808080808
 46.6699098497153     137.5607070707071
 48.7730016063652     136.7778333333333
 50.9363825735331     135.9949595959596
 53.1621432190395     135.2120858585859
 55.4524590921093     134.4292121212121
 57.8095950941821     133.6463383838384
 60.2359093087590     132.8634646464646
 62.7338578193351     132.0805909090909
 65.3059990782007     131.2977171717172
 67.9549990510132     130.5148434343434
 70.6836361980475     129.7319696969697
 73.4948071332248     128.9490959595960
 76.3915323321359     128.1662222222222
 79.3769622075349     127.3833484848485
 82.4543835359698     126.6004747474747
 85.6272262927122     125.8176010101010
 88.8990708541572     125.0347272727273
 92.2736555595255     124.2518535353535
 95.7548847216955     123.4689797979798
 99.3468370218366     122.6861060606061
103.0537748186327     121.9032323232323
106.8801532206923     121.1203585858586
110.8306304491844     120.3374848484848
114.9100783147974     119.5546111111111
119.1235936827838     118.7717373737374
123.4765102564769     117.9888636363636
127.9744113488923     117.2059898989899
132.6231433811025     116.4231161616162
137.4288300583875     115.6402424242424
142.3978875997983     114.8573686868687
147.5370407761524     114.0744949494949
152.8533400504379     113.2916212121212
158.3541798206253     112.5087474747475
164.0473175362394     111.7258737373737
169.9408944481295     110.9430000000000
# T= 200.000000 K
-18.8647216452668     188.4475000000000
-18.4233945781535     187.6646262626263
-17.9728791603531     186.8817525252525
-17.5129442944724     186.0988787878788
-17.0433522441721     185.3160050505051
-16.5638580952116     184.5331313131313
-16.0742097227848     183.7502575757576
-15.5741474322170     182.9673838383838
-15.0634037548153     182.1845101010101
-14.5417031702248     181.4016363636364
-14.0087617634576     180.6187626262626
-13.4642870615726     179.8358888888889
-12.9079776090449     179.0530151515152
-12.3395227472833     178.2701414141414
-11.7586021818340     177.4872676767677
-11.1648857700643     176.7043939393939
-10.5580330801999     175.9215202020202
 -9.9376930238548     175.1386464646465
 -9.3035035865547     174.3557727272727
 -8.6550912397853     173.5728989898990
 -7.9920707123451     172.7900252525253
 -7.3140444595562     172.0071515151515
 -6.6206022059691     171.2242777777778
 -5.9113205452293     170.4414040404040
 -5.1857624174547     169.6585303030303
 -4.4434766274416     168.8756565656566
 -3.6839972322168     168.0927828282828
 -2.9068431327373     167.3099090909091
 -2.1115173552844     166.5270353535354
 -1.2975065860020     165.7441616161616
 -0.4642804277921     164.9612878787879
  0.3887091468061     164.1784141414141
  1.2620284897253     163.3955404040404
