# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 188.447500 (a.u.^3)
  600.0      46.9203153393241
  700.0      47.6271718800112
  800.0      48.1304615665275
  900.0      48.4738760887613
 1000.0      48.7263095181232
 1100.0      48.9143779481860
 1200.0      49.0590774899573
 1300.0      49.1719375494681
 1400.0      49.2625617458323
 1500.0      49.3353713132489
 1600.0      49.3959562000001
 1700.0      49.4449858046672
 1800.0      49.4880130986605
 1900.0      49.5224846267210
 2000.0      49.5539057933494
 2100.0      49.5790903023928
 2200.0      49.6024899340143
 2300.0      49.6225629485002
 2400.0      49.6389777735642
 2500.0      49.6551038957033
 2600.0      49.6688346786857
 2700.0      49.6809461554856
 2800.0      49.6910408752161
 2900.0      49.7022859002284
 3000.0      49.7096240446917
 3100.0      49.7186450528946
 3200.0      49.7249906210009
 3300.0      49.7321587644145
 3400.0      49.7386820523663
 3500.0      49.7433440027929
 3600.0      49.7483567123482
 3700.0      49.7536928096711
 3800.0      49.7570346978113
 3900.0      49.7621529914324
 4000.0      49.7649026111497
 4100.0      49.7680871200973
 4200.0      49.7727045760047
 4300.0      49.7735755410266
 4400.0      49.7778234264044
 4500.0      49.7794106552948
 4600.0      49.7823573076920
 4700.0      49.7856330760139
 4800.0      49.7851890605114
 4900.0      49.7886064155954
 5000.0      49.7880110909977
 5100.0      49.8000593214051
 5200.0      49.7818472476360
 5300.0      49.8069123836913
 5400.0      49.7852494201849
 5500.0      49.8053979903606
 5600.0      49.7961402100195
 5700.0      49.8023878721386
 5800.0      49.7979018734851
 5900.0      49.8078434865606
 6000.0      49.7890175436365
# V= 185.316005 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.4729206590495
  200.0      34.3613940197183
  300.0      39.5850353161473
  400.0      43.9780184480483
  500.0      45.6615171853042
  600.0      46.9152992775449
  700.0      47.6233563846506
  800.0      48.1274238277881
  900.0      48.4714073395757
 1000.0      48.7242534462329
 1100.0      48.9126346414173
 1200.0      49.0575729855977
 1300.0      49.1706274277570
 1400.0      49.2613983953901
 1500.0      49.3343366938678
 1600.0      49.3950157909183
 1700.0      49.4441430108563
 1800.0      49.4872263086135
 1900.0      49.5217739092855
 2000.0      49.5532327810485
 2100.0      49.5784762217772
 2200.0      49.6019067629267
 2300.0      49.6220099677770
 2400.0      49.6384706215736
 2500.0      49.6546118453745
 2600.0      49.6683676518793
 2700.0      49.6804998745335
 2800.0      49.6906258251366
 2900.0      49.7018671787098
 3000.0      49.7092437545066
 3100.0      49.7182640072346
 3200.0      49.7246348249424
 3300.0      49.7318078448974
 3400.0      49.7383357016738
 3500.0      49.7430196335440
 3600.0      49.7480405275494
 3700.0      49.7533823569095
 3800.0      49.7567377766684
 3900.0      49.7618536653880
 4000.0      49.7646192942202
 4100.0      49.7678185638787
 4200.0      49.7724163514690
 4300.0      49.7733264907817
 4400.0      49.7775605402305
 4500.0      49.7791608164073
 4600.0      49.7821085102254
 4700.0      49.7853787380572
 4800.0      49.7849639904700
 4900.0      49.7883777408680
 5000.0      49.7878125997568
 5100.0      49.7997291925081
 5200.0      49.7817859388696
 5300.0      49.8065416696619
 5400.0      49.7851909510328
 5500.0      49.8050912832736
 5600.0      49.7959808954827
 5700.0      49.8021655554828
 5800.0      49.7977398810354
 5900.0      49.8076474564829
 6000.0      49.7887864167900
# V= 184.533131 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.4566427808036
  200.0      34.3384822367361
  300.0      39.5715393253275
  400.0      43.9681142693027
  500.0      45.6548292665733
  600.0      46.9102624673882
  700.0      47.6195253107438
  800.0      48.1243741391876
  900.0      48.4689292765038
 1000.0      48.7221900208888
 1100.0      48.9108854720532
 1200.0      49.0560637785808
 1300.0      49.1693135140056
 1400.0      49.2602319944651
 1500.0      49.3332996166614
 1600.0      49.3940734253604
 1700.0      49.4432986597972
 1800.0      49.4864383216823
 1900.0      49.5210622747686
 2000.0      49.5525591165171
 2100.0      49.5778616941758
 2200.0      49.6013233371415
 2300.0      49.6214569029694
 2400.0      49.6379635115825
 2500.0      49.6541199784434
 2600.0      49.6679009132733
 2700.0      49.6800539858069
 2800.0      49.6902112437277
 2900.0      49.7014490249114
 3000.0      49.7088640782454
 3100.0      49.7178836542854
 3200.0      49.7242797699568
 3300.0      49.7314577219771
 3400.0      49.7379901990565
 3500.0      49.7426961446310
 3600.0      49.7477252684779
 3700.0      49.7530728478570
 3800.0      49.7564418497813
 3900.0      49.7615553530700
 4000.0      49.7643370191556
 4100.0      49.7675510572116
 4200.0      49.7721292252254
 4300.0      49.7730785247346
 4400.0      49.7772987782356
 4500.0      49.7789121061570
 4600.0      49.7818608613465
 4700.0      49.7851255542608
 4800.0      49.7847400976572
 4900.0      49.7881502241021
 5000.0      49.7876152775433
 5100.0      49.7994003312329
 5200.0      49.7817257160169
 5300.0      49.8061722672769
 5400.0      49.7851335793431
 5500.0      49.8047858609804
 5600.0      49.7958227534312
 5700.0      49.8019444752421
 5800.0      49.7975790784368
 5900.0      49.8074526413266
 6000.0      49.7885565300896
# V= 183.750258 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.4403365227546
  200.0      34.3155084304385
  300.0      39.5579913018146
  400.0      43.9581710587440
  500.0      45.6481132479623
  600.0      46.9052049003283
  700.0      47.6156786532368
  800.0      48.1213125025878
