# T (K)      C_V_V (J K^-1 mol^-1)
# V = 188.447500 (a.u.^3)
  600.0      46.8319351366696
  700.0      47.5599735840359
  800.0      48.0770264418934
  900.0      48.4305071900585
 1000.0      48.6902486201006
 1100.0      48.8838565109601
 1200.0      49.0327887255819
 1300.0      49.1490892470597
 1400.0      49.2423191114858
 1500.0      49.3174056372149
 1600.0      49.3796667853211
 1700.0      49.4304156568555
 1800.0      49.4744485267397
 1900.0      49.5102553330134
 2000.0      49.5423567675399
 2100.0      49.5685740025755
 2200.0      49.5925276823610
 2300.0      49.6131393223097
 2400.0      49.6303523851831
 2500.0      49.6467561199919
 2600.0      49.6609280198196
 2700.0      49.6734077142622
 2800.0      49.6840450050926
 2900.0      49.6952420569766
 3000.0      49.7032408913736
 3100.0      49.7122605656132
 3200.0      49.7190428567396
 3300.0      49.7263020988520
 3400.0      49.7329106770468
 3500.0      49.7379513752832
 3600.0      49.7431099969829
 3700.0      49.7485462909151
 3800.0      49.7521258116734
 3900.0      49.7572060671257
 4000.0      49.7602322146363
 4100.0      49.7636690305447
 4200.0      49.7679589799297
 4300.0      49.7694944567752
 4400.0      49.7735128000095
 4500.0      49.7753227062799
 4600.0      49.7782900187513
 4700.0      49.7814723906721
 4800.0      49.7815297040707
 4900.0      49.7848830156294
 5000.0      49.7848028527903
 5100.0      49.7946257669506
 5200.0      49.7809610690993
 5300.0      49.8007947856686
 5400.0      49.7844133296222
 5500.0      49.8003655647768
 5600.0      49.7935993180333
 5700.0      49.7987843459555
 5800.0      49.7953180091761
 5900.0      49.8046841681297
 6000.0      49.7852647743130
# V = 185.316005 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.1005122814800
  200.0      33.8314041067148
  300.0      39.2687874768175
  400.0      43.7457012721993
  500.0      45.5041797641795
  600.0      46.7969070456158
  700.0      47.5333561361366
  800.0      48.0558976268560
  900.0      48.4133913039954
 1000.0      48.6760502426973
 1100.0      48.8718700827515
 1200.0      49.0224942788433
 1300.0      49.1401673136944
 1400.0      49.2344412031127
 1500.0      49.3104352299445
 1600.0      49.3733701529787
