# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  82.5323     -0.354538211
  81.4525     -0.311539187
  80.4403     -0.268815796
  79.4955     -0.226302043
  78.5507     -0.184158258
  77.6734     -0.142240870
  76.8299     -0.100587126
  76.0201     -0.059162804
  75.2440     -0.017921466
  74.4680      0.022848873
  73.7594      0.063792468
  73.0508      0.104314183
# T= 950.000000 K
  83.6119     -0.408631385
  82.5323     -0.366341351
  81.4525     -0.323303001
  80.4403     -0.280541237
  79.4955     -0.237988081
  78.5507     -0.195809960
  77.6734     -0.153859321
  76.8299     -0.112173320
  76.0201     -0.070717612
  75.2440     -0.029445793
  74.4680      0.011353917
  73.7594      0.052326321
  73.0508      0.092875857
# T= 1000.000000 K
  83.6119     -0.420624009
  82.5323     -0.378294535
  81.4525     -0.335216858
  80.4403     -0.292416720
  79.4955     -0.249824160
  78.5507     -0.207611703
  77.6734     -0.165627812
  76.8299     -0.123909553
  76.0201     -0.082422460
  75.2440     -0.041120159
  74.4680     -0.000291077
  73.7594      0.040710136
  73.0508      0.081287495
# T= 1050.000000 K
  83.6119     -0.432759172
  82.5323     -0.390390258
  81.4525     -0.347273254
  80.4403     -0.304434742
  79.4955     -0.261802777
  78.5507     -0.219555983
  77.6734     -0.177538839
  76.8299     -0.135788321
  76.0201     -0.094269841
  75.2440     -0.052937058
  74.4680     -0.012078603
  73.7594      0.028951420
  73.0508      0.069556602
# T= 1100.000000 K
  83.6119     -0.445030085
  82.5323     -0.402621730
  81.4525     -0.359465397
  80.4403     -0.316588510
  79.4955     -0.273917140
  78.5507     -0.231636008
  77.6734     -0.189585611
  76.8299     -0.147802833
  76.0201     -0.106252966
  75.2440     -0.064889700
  74.4680     -0.024001871
  73.7594      0.017056962
  73.0508      0.057689968
# T= 1150.000000 K
  83.6119     -0.457430573
  82.5323     -0.414982777
  81.4525     -0.371787116
  80.4403     -0.328871853
  79.4955     -0.286161077
  78.5507     -0.243845606
  77.6734     -0.201761955
  76.8299     -0.159946918
  76.0201     -0.118365663
  75.2440     -0.076971913
  74.4680     -0.036054711
  73.7594      0.005032934
  73.0508      0.045693763
# T= 1200.000000 K
  83.6119     -0.469955002
  82.5323     -0.427467764
  81.4525     -0.384232774
  80.4403     -0.341279135
  79.4955     -0.298528952
  78.5507     -0.256179143
  77.6734     -0.214062237
  76.8299     -0.172214940
  76.0201     -0.130602296
  75.2440     -0.089178062
  74.4680     -0.048231485
  73.7594     -0.007115029
  73.0508      0.033573624
# T= 1250.000000 K
  83.6119     -0.482598205
  82.5323     -0.440071525
  81.4525     -0.396797205
  80.4403     -0.353805190
  79.4955     -0.311015600
  78.5507     -0.268631451
  77.6734     -0.226481291
  76.8299     -0.184601733
  76.0201     -0.142957701
  75.2440     -0.101502982
  74.4680     -0.060527031
  73.7594     -0.019381763
  73.0508      0.021334716
# T= 1300.000000 K
  83.6119     -0.495355430
  82.5323     -0.452789307
  81.4525     -0.409475657
  80.4403     -0.366445265
  79.4955     -0.323616268
  78.5507     -0.281197780
  77.6734     -0.239014365
  76.8299     -0.197102545
  76.0201     -0.155427124
  75.2440     -0.113941921
  74.4680     -0.072936594
  73.7594     -0.031762514
  73.0508      0.008981790
# T= 1350.000000 K
  83.6119     -0.508222290
  82.5323     -0.465616724
  81.4525     -0.422263744
  80.4403     -0.379194975
  79.4955     -0.336326570
  78.5507     -0.293873742
  77.6734     -0.251657071
  76.8299     -0.209712990
  76.0201     -0.168006180
  75.2440     -0.126490491
  74.4680     -0.085455789
  73.7594     -0.044252896
  73.0508     -0.003480767
# T= 1400.000000 K
  83.6119     -0.521194723
  82.5323     -0.478549715
  81.4525     -0.435157404
  80.4403     -0.392050257
  79.4955     -0.349142444
  78.5507     -0.306655276
  77.6734     -0.264405350
  76.8299     -0.222429006
  76.0201     -0.180690807
  75.2440     -0.139144633
  74.4680     -0.098080555
  73.7594     -0.056848849
  73.0508     -0.016048894
# T= 1450.000000 K
  83.6119     -0.534268959
  82.5323     -0.491584507
  81.4525     -0.448152865
  80.4403     -0.405007340
  79.4955     -0.362060120
  78.5507     -0.319538610
  77.6734     -0.277255428
  76.8299     -0.235246823
  76.0201     -0.193477234
  75.2440     -0.151900574
  74.4680     -0.110807120
  73.7594     -0.069546601
  73.0508     -0.028718821
# T= 1500.000000 K
  83.6119     -0.547441486
  82.5323     -0.504717590
  81.4525     -0.461246617
  80.4403     -0.418062714
  79.4955     -0.375076085
  78.5507     -0.332520235
  77.6734     -0.290203796
  76.8299     -0.248162928
  76.0201     -0.206361949
  75.2440     -0.164754803
  74.4680     -0.123631973
  73.7594     -0.082342642
  73.0508     -0.041487035
# T= 1550.000000 K
  83.6119     -0.560709026
  82.5323     -0.517945686
  81.4525     -0.474435382
  80.4403     -0.431213101
  79.4955     -0.388187063
  78.5507     -0.345596872
  77.6734     -0.303247177
  76.8299     -0.261174047
  76.0201     -0.219341677
  75.2440     -0.177704045
  74.4680     -0.136551839
  73.7594     -0.095233694
  73.0508     -0.054350260
# T= 1600.000000 K
  83.6119     -0.574068514
  82.5323     -0.531265731
  81.4525     -0.487716094
  80.4403     -0.444455435
  79.4955     -0.401389988
  78.5507     -0.358765456
  77.6734     -0.316382505
  76.8299     -0.274277111
  76.0201     -0.232413352
  75.2440     -0.190745233
  74.4680     -0.149563650
  73.7594     -0.108216692
  73.0508     -0.067305432
# T= 1650.000000 K
  83.6119     -0.587517077
  82.5323     -0.544674849
  81.4525     -0.501085881
  80.4403     -0.457786843
  79.4955     -0.414681987
  78.5507     -0.372023113
  77.6734     -0.329606905
  76.8299     -0.287469249
  76.0201     -0.245574099
  75.2440     -0.203875494
  74.4680     -0.162664534
  73.7594     -0.121288762
  73.0508     -0.080349675
# T= 1700.000000 K
  83.6119     -0.601052014
  82.5323     -0.558170342
  81.4525     -0.514542042
  80.4403     -0.471204625
  79.4955     -0.428060360
  78.5507     -0.385367145
  77.6734     -0.342917680
  76.8299     -0.300747760
  76.0201     -0.258821220
  75.2440     -0.217092128
  74.4680     -0.175851791
  73.7594     -0.134447205
  73.0508     -0.093480291
# T= 1750.000000 K
  83.6119     -0.614670785
  82.5323     -0.571749668
