# T (K)      C_V_V (J K^-1 mol^-1)
# V = 83.611950 (a.u.^3)
  650.0      73.5331194714013
  700.0      76.4775694989169
  750.0      73.7215105184831
  800.0      75.0494125609463
  850.0      74.5401549642860
  900.0      75.4498556558466
  950.0      71.9493204762038
 1000.0      79.4212391942214
 1050.0      71.6816720182228
 1100.0      75.6411775733395
 1150.0      74.5115813504334
 1200.0      74.7521766952464
 1250.0      74.5529317180913
 1300.0      74.3996525973447
 1350.0      78.4940475002321
 1400.0      70.1441171621472
 1450.0      79.8432560690371
 1500.0      68.0499954284000
 1550.0      79.4804017498767
 1600.0      68.2886968502585
 1650.0      81.3992624074032
 1700.0      72.7080082954380
 1750.0      75.4198438993520
 1800.0      74.4008991223664
 1850.0      75.4590295470614
 1900.0      73.7632384730480
 1950.0      76.6671555310752
 2000.0      73.3797673659604
 2050.0      75.2965491595072
 2100.0      73.9992324204045
 2150.0      78.3398562283226
 2200.0      70.0767879438944
 2250.0      80.3893517178844
 2300.0      58.1665541284629
 2350.0      91.9078954848975
 2400.0      67.6488566387189
 2450.0      86.1782265517547
 2500.0      63.3577063257622
 2550.0      80.4104929646194
 2600.0      65.2114263771977
 2650.0      83.6418429417549
 2700.0      71.8418103215249
 2750.0      76.1371140450632
 2800.0      74.7831956789553
 2850.0      73.1455520919984
 2900.0      77.4415596621362
 2950.0      69.8287111031373
 3000.0      81.2192765134128
 3050.0      76.1660506359818
 3100.0      78.6828675533708
 3150.0      48.6852818151761
 3200.0     102.8239372719051
 3250.0      59.9797084465908
 3300.0      75.1250325500203
 3350.0      96.1888684770141
 3400.0      51.3078375626762
 3450.0      71.9888005086454
 3500.0      86.8989318339706
 3550.0      71.9137269053262
 3600.0      74.6350685124089
 3650.0      73.6037184028309
 3700.0      79.9600261511081
 3750.0      70.2394419750838
 3800.0      78.5688884560170
 3850.0      65.7518251029189
 3900.0      80.4550479626612
 3950.0      85.7957392781856
 4000.0      66.1983405640189
 4050.0      59.8317086710127
 4100.0      90.6119165363671
 4150.0      80.2811645814739
 4200.0      55.0199711233229
 4250.0      88.1743899821584
