# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  60.6676     -0.310710313
  59.8578     -0.279415612
  59.1155     -0.247645307
  58.3732     -0.216396413
  57.6308     -0.185440787
  56.9560     -0.154486215
  56.3487     -0.123594916
  55.6738     -0.093095931
  55.0665     -0.062737547
  54.5266     -0.032376322
  53.9867     -0.002261262
  53.4469      0.027804423
  52.9070      0.057750435
# T= 950.000000 K
  60.6676     -0.318677958
  59.8578     -0.287359280
  59.1155     -0.255565373
  58.3732     -0.224294066
  57.6308     -0.193317278
  56.9560     -0.162342590
  56.3487     -0.131432252
  55.6738     -0.100922897
  55.0665     -0.070555103
  54.5266     -0.040177807
  53.9867     -0.010047381
  53.4469      0.020033322
  52.9070      0.049994044
# T= 1000.000000 K
  60.6676     -0.326745634
  59.8578     -0.295402979
  59.1155     -0.263585470
  58.3732     -0.232291750
  57.6308     -0.201293799
  56.9560     -0.170298994
  56.3487     -0.139369617
  55.6738     -0.108849891
  55.0665     -0.078472687
  54.5266     -0.048079319
  53.9867     -0.017933526
  53.4469      0.012162195
  52.9070      0.042137627
# T= 1050.000000 K
  60.6676     -0.334908338
  59.8578     -0.303541705
  59.1155     -0.271700594
  58.3732     -0.240384459
  57.6308     -0.209365345
  56.9560     -0.178350423
  56.3487     -0.147402007
  55.6738     -0.116871910
  55.0665     -0.086485296
  54.5266     -0.056075854
  53.9867     -0.025914695
  53.4469      0.004196045
  52.9070      0.034186188
# T= 1100.000000 K
  60.6676     -0.343161543
  59.8578     -0.311770931
  59.1155     -0.279906217
  58.3732     -0.248567667
  57.6308     -0.217527390
  56.9560     -0.186492351
  56.3487     -0.155524894
  55.6738     -0.124984426
  55.0665     -0.094588401
  54.5266     -0.064162886
  53.9867     -0.033986360
  53.4469     -0.003860601
  52.9070      0.026144252
# T= 1150.000000 K
  60.6676     -0.351501132
  59.8578     -0.320086541
  59.1155     -0.288198224
  58.3732     -0.256837259
  57.6308     -0.225775819
  56.9560     -0.194720661
  56.3487     -0.163734165
  55.6738     -0.133183324
  55.0665     -0.102777889
  54.5266     -0.072336300
  53.9867     -0.042144407
  53.4469     -0.012003629
  52.9070      0.018015936
# T= 1200.000000 K
  60.6676     -0.359923349
  59.8578     -0.328484779
  59.1155     -0.296572858
  58.3732     -0.265189478
  57.6308     -0.234106874
  56.9560     -0.203031598
  56.3487     -0.172026061
  55.6738     -0.141464849
  55.0665     -0.111050002
  54.5266     -0.080592339
  53.9867     -0.050385078
  53.4469     -0.020229281
  52.9070      0.009804996
# T= 1250.000000 K
  60.6676     -0.368424749
  59.8578     -0.336962199
  59.1155     -0.305026675
  58.3732     -0.273620880
  57.6308     -0.242517111
  56.9560     -0.211421717
  56.3487     -0.180397140
  55.6738     -0.149825555
  55.0665     -0.119401296
  54.5266     -0.088927560
  53.9867     -0.058704931
  53.4469     -0.028534114
  52.9070      0.001514875
# T= 1300.000000 K
  60.6676     -0.377002165
  59.8578     -0.345515635
  59.1155     -0.313556507
  58.3732     -0.282128296
  57.6308     -0.251003363
  56.9560     -0.219887850
  56.3487     -0.188844232
  55.6738     -0.158262274
  55.0665     -0.127828604
  54.5266     -0.097338793
  53.9867     -0.067100796
  53.4469     -0.036914959
  52.9070     -0.006851258
# T= 1350.000000 K
  60.6676     -0.385652671
  59.8578     -0.354142161
  59.1155     -0.322159429
  58.3732     -0.290708802
  57.6308     -0.259562705
  56.9560     -0.228427073
  56.3487     -0.197364413
  55.6738     -0.166772083
  55.0665     -0.136329001
  54.5266     -0.105823115
  53.9867     -0.075569750
  53.4469     -0.045368893
  52.9070     -0.015290480
# T= 1400.000000 K
  60.6676     -0.394373560
  59.8578     -0.362839070
  59.1155     -0.330832733
  58.3732     -0.299359690
  57.6308     -0.268192428
  56.9560     -0.237036677
  56.3487     -0.205954977
  55.6738     -0.175352273
  55.0665     -0.144899779
  54.5266     -0.114377819
  53.9867     -0.084109085
  53.4469     -0.053893208
