# P (GPa)             V (a.u.^3)
# T= 0.000000 K
548.9655678909176      60.6676000000000
551.4398642447613      60.5892101010101
553.9250979972543      60.5108202020202
556.4213258121705      60.4324303030303
558.9286045002719      60.3540404040404
561.4469910519724      60.2756505050505
563.9765430211382      60.1972606060606
566.5173181004583      60.1188707070707
569.0693745542394      60.0404808080808
571.6327708427731      59.9620909090909
574.2075658101516      59.8837010101010
576.7938187985923      59.8053111111111
579.3915891258148      59.7269212121212
582.0009368444775      59.6485313131313
584.6219222113880      59.5701414141414
587.2546057364999      59.4917515151515
589.8990486810372      59.4133616161616
592.5553121919005      59.3349717171717
595.2234582407546      59.2565818181818
597.9035486767742      59.1781919191919
600.5956460595756      59.0998020202020
603.2998132509159      59.0214121212121
606.0161136433414      58.9430222222222
608.7446105967347      58.8646323232323
611.4853683202405      58.7862424242424
614.2384510883318      58.7078525252525
617.0039236817724      58.6294626262626
619.7818513957834      58.5510727272727
622.5722995174199      58.4726828282828
625.3753343626508      58.3942929292929
628.1910220106322      58.3159030303030
631.0194294142798      58.2375131313131
633.8606237714894      58.1591232323232
636.7146723618166      58.0807333333333
639.5816435018969      58.0023434343434
642.4616053858764      57.9239535353535
645.3546269428398      57.8455636363636
648.2607772815231      57.7671737373737
651.1801262945974      57.6887838383838
654.1127438420694      57.6103939393939
657.0587004698893      57.5320040404040
660.0180673119578      57.4536141414141
662.9909154286814      57.3752242424242
665.9773170237052      57.2968343434343
668.9773439740345      57.2184444444444
671.9910690467673      57.1400545454545
675.0185656867782      57.0616646464646
678.0599070612983      56.9832747474747
681.1151675052948      56.9048848484848
684.1844213047387      56.8264949494950
687.2677435540340      56.7481050505050
690.3652095925638      56.6697151515151
693.4768954456545      56.5913252525253
696.6028771712957      56.5129353535354
699.7432317665664      56.4345454545455
702.8980365551838      56.3561555555556
706.0673690568500      56.2777656565657
709.2513076895244      56.1993757575758
712.4499313284625      56.1209858585859
715.6633186855994      56.0425959595960
718.8915499999099      55.9642060606061
722.1347051510653      55.8858161616162
725.3928649578253      55.8074262626263
728.6661105084271      55.7290363636364
731.9545234300631      55.6506464646465
735.2581860440340      55.5722565656566
738.5771811289363      55.4938666666667
741.9115915858559      55.4154767676768
745.2615015326109      55.3370868686869
748.6269948583711      55.2586969696970
752.0081565465492      55.1803070707071
755.4050718010391      55.1019171717172
758.8178266015033      55.0235272727273
762.2465071644181      54.9451373737374
765.6912001553887      54.8667474747475
769.1519935955743      54.7883575757576
772.6289751304984      54.7099676767677
776.1222331651214      54.6315777777778
779.6318571088198      54.5531878787879
783.1579362239823      54.4747979797980
786.7005610387259      54.3964080808081
790.2598221219965      54.3180181818182
793.8358108838377      54.2396282828283
797.4286193630730      54.1612383838384
801.0383397210163      54.0828484848485
804.6650651887254      54.0044585858586
808.3088895770430      53.9260686868687
811.9699068437999      53.8476787878788
815.6482120247364      53.7692888888889
819.3439002127553      53.6908989898990
823.0570676684949      53.6125090909091
826.7878109302374      53.5341191919192
830.5362273365311      53.4557292929293
834.3024146260580      53.3773393939394
838.0864712152769      53.2989494949495
841.8884960187717      53.2205595959596
845.7085890861979      53.1421696969697
849.5468503692194      53.0637797979798
853.4033811832204      52.9853898989899
857.2782827700902      52.9070000000000
# T= 50.000000 K
549.2343934195743      60.6676000000000
551.7079191983511      60.5892101010101
554.1923754101913      60.5108202020202
556.6878183513996      60.4324303030303
559.1943048000743      60.3540404040404
561.7118920487702      60.2756505050505
564.2406371123991      60.1972606060606
566.7805980102888      60.1188707070707
569.3318326964392      60.0404808080808
571.8943998842869      59.9620909090909
574.4683579769612      59.8837010101010
577.0537665044969      59.8053111111111
579.6506845151364      59.7269212121212
582.2591722983514      59.6485313131313
584.8792898169743      59.5701414141414
587.5110978586019      59.4917515151515
590.1546572026654      59.4133616161616
592.8100290532268      59.3349717171717
595.4772752512954      59.2565818181818
598.1564578501959      59.1781919191919
600.8476391563985      59.0998020202020
603.5508820071625      59.0214121212121
606.2662495255569      58.9430222222222
608.9938054715972      58.8646323232323
611.7336136297972      58.7862424242424
614.4857383236257      58.7078525252525
617.2502442603527      58.6294626262626
620.0271965718794      58.5510727272727
622.8166606759166      58.4726828282828
625.6187026189561      58.3942929292929
628.4333885373155      58.3159030303030
631.2607853022508      58.2375131313131
634.1009598095166      58.1591232323232
636.9539797551331      58.0807333333333
639.8199128269556      58.0023434343434
642.6988276519270      57.9239535353535
645.5907926773388      57.8455636363636
648.4958774365585      57.7671737373737
651.4141510628206      57.6887838383838
654.3456838979250      57.6103939393939
657.2905461448501      57.5320040404040
660.2488088803349      57.4536141414141
663.2205432546117      57.3752242424242
666.2058211773503      57.2968343434343
669.2047146888757      57.2184444444444
672.2172963929661      57.1400545454545
675.2436393261967      57.0616646464646
678.2838170477659      56.9832747474747
681.3379035741676      56.9048848484848
684.4059732322029      56.8264949494950
687.4881008141340      56.7481050505050
690.5843619206557      56.6697151515151
