#T (K)    alpha (10^(-5) K^(-1))
#P= 600.000000 GPa
    0.0       0.0000000000000
   50.0       0.3591637655464
  100.0       0.4234139520054
  150.0       0.4142064037785
  200.0       0.4215257294045
  250.0       0.4183933002950
  300.0       0.4180032059737
  350.0       0.4287086011325
  400.0       0.4249164338223
  450.0       0.4169191106687
  500.0       0.4258651920192
  550.0       0.4267321883144
  600.0       0.4236728474416
  650.0       0.4251047994096
  700.0       0.4280012323302
  750.0       0.4245814484326
  800.0       0.4351357972603
  850.0       0.4307688157419
  900.0       0.4270815428344
  950.0       0.4348737907747
 1000.0       0.4285164325454
 1050.0       0.4313462051805
 1100.0       0.4329453928292
 1150.0       0.4237656532794
 1200.0       0.4292074965897
 1250.0       0.4480370823910
 1300.0       0.4396106831902
 1350.0       0.4371944898020
 1400.0       0.4187992519967
 1450.0       0.4404301638465
 1500.0       0.4366267937137
 1550.0       0.3968445169259
 1600.0       0.4338364333888
 1650.0       0.4443197919811
 1700.0       0.4327834288513
 1750.0       0.4372033872954
 1800.0       0.4341306449860
 1850.0       0.4456982557879
 1900.0       0.4411788323632
 1950.0       0.4483678049982
 2000.0       0.4370228927811
 2050.0       0.4406050779807
 2100.0       0.4425663311639
 2150.0       0.4294885724666
 2200.0       0.4386954832138
 2250.0       0.4639107954153
 2300.0       0.4585118339376
 2350.0       0.4336838707464
 2400.0       0.4499230901852
 2450.0       0.4491391161676
 2500.0       0.4405475056392
 2550.0       0.4390846204725
 2600.0       0.4562206002975
 2650.0       0.4338780494681
 2700.0       0.4466025048368
 2750.0       0.4173797059162
 2800.0       0.4108008409360
 2850.0       0.4538056323609
 2900.0       0.4506336517494
 2950.0       0.4575447427200
 3000.0       0.4335634651741
 3050.0       0.4621865735830
 3100.0       0.4654253008398
 3150.0       0.4665741144997
 3200.0       0.4509178985727
 3250.0       0.4321670504682
 3300.0       0.4587469075084
 3350.0       0.4270415284538
 3400.0       0.4521603822687
 3450.0       0.4622520248475
 3500.0       0.4521465284093
 3550.0       0.4052937833114
 3600.0       0.3860004822416
 3650.0       0.4531830351569
 3700.0       0.4481704185386
 3750.0       0.4595985427031
 3800.0       0.4639384327585
 3850.0       0.4710417252421
 3900.0       0.4737892621626
 3950.0       0.4521835543838
 4000.0       0.4546176805690
 4050.0       0.4753367212299
 4100.0       0.4853343256713
 4150.0       0.3935018831104
 4200.0       0.4048572965894
 4250.0       0.4731118122236
 4300.0       0.4546277694209
 4350.0       0.4552385670417
 4400.0       0.4513187655423
 4450.0       0.4897818098233
 4500.0       0.4880392671599
 4550.0       0.4610564732814
 4600.0       0.4511519427667
 4650.0       0.4359501312071
 4700.0       0.4986681167769
 4750.0       0.4984038490789
 4800.0       0.4623204843503
 4850.0       0.4747210020996
 4900.0       0.4644286903879
 4950.0       0.4592279310851
 5000.0       0.4842672287687

#P= 602.000000 GPa
    0.0       0.0000000000000
   50.0       0.3574684552415
  100.0       0.4216837033680
  150.0       0.4126891913396
  200.0       0.4198452821803
  250.0       0.4169381112946
  300.0       0.4166762062787
  350.0       0.4265929734024
  400.0       0.4232373708521
  450.0       0.4159026433470
  500.0       0.4241648753015
  550.0       0.4250040535813
  600.0       0.4221726578459
  650.0       0.4236054161642
  700.0       0.4262649790897
  750.0       0.4230937849317
  800.0       0.4330931331088
  850.0       0.4290226651630
  900.0       0.4255563391130
  950.0       0.4328622479306
 1000.0       0.4269681618361
 1050.0       0.4296587870372
 1100.0       0.4311957977791
 1150.0       0.4226248696820
 1200.0       0.4277408049670
 1250.0       0.4453832274368
 1300.0       0.4375265726932
 1350.0       0.4353487897698
 1400.0       0.4180998642077
 1450.0       0.4384773481167
 1500.0       0.4347024568009
 1550.0       0.3975944897886
 1600.0       0.4324867069588
 1650.0       0.4421175052900
 1700.0       0.4314076582431
 1750.0       0.4355589180372
 1800.0       0.4327017132845
 1850.0       0.4436098399855
 1900.0       0.4393864690450
 1950.0       0.4462087192904
 2000.0       0.4355058366150
 2050.0       0.4389314536211
 2100.0       0.4407975583842
 2150.0       0.4284792884355
 2200.0       0.4372605405401
 2250.0       0.4608888870827
 2300.0       0.4558169924007
 2350.0       0.4326004800576
 2400.0       0.4479161661302
 2450.0       0.4472309413130
 2500.0       0.4390971029305
 2550.0       0.4377654549859
 2600.0       0.4539723556812
 2650.0       0.4330417169595
 2700.0       0.4451336180086
 2750.0       0.4172039464881
 2800.0       0.4110423901383
 2850.0       0.4518413693157
 2900.0       0.4488463524114
 2950.0       0.4554491061110
 3000.0       0.4326720828856
 3050.0       0.4599087997659
 3100.0       0.4630330896972
 3150.0       0.4641690494106
 3200.0       0.4492785630967
 3250.0       0.4314919658436
 3300.0       0.4566294091167
 3350.0       0.4266032368701
 3400.0       0.4506461755568
 3450.0       0.4601022210798
 3500.0       0.4505786366385
 3550.0       0.4060169734241
 3600.0       0.3875746336251
 3650.0       0.4515978749744
 3700.0       0.4468289090719
 3750.0       0.4577888235357
 3800.0       0.4619356145246
 3850.0       0.4687133406629
 3900.0       0.4714358086804
 3950.0       0.4507682193255
 4000.0       0.4530981364478
 4050.0       0.4730115839037
 4100.0       0.4823508879712
 4150.0       0.3947093782872
 4200.0       0.4058013475263
 4250.0       0.4708331563066
 4300.0       0.4532290758764
 4350.0       0.4538503815212
 4400.0       0.4500733188366
 4450.0       0.4869848570852
 4500.0       0.4853637060991
 4550.0       0.4594964275664
 4600.0       0.4500158878034
 4650.0       0.4354408775953
 4700.0       0.4956339487653
 4750.0       0.4954096014040
 4800.0       0.4608094271779
 4850.0       0.4727264334987
