# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
  850.0    2009.4242596627134
  900.0    2008.2167638374328
  950.0    2006.1170931113843
 1000.0    2004.4957630508941
 1050.0    2002.8094676485853
 1100.0    2001.1421521126342
 1150.0    1999.5342708743005
 1200.0    1998.5457503125015
 1250.0    1996.3240128969878
 1300.0    1993.8617640884668
 1350.0    1992.0851409435770
 1400.0    1990.5046302354913
 1450.0    1989.8981537666482
 1500.0    1987.0715865570514
 1550.0    1986.9659323620829
 1600.0    1986.9507369528822
 1650.0    1984.7077170672530
 1700.0    1983.1730234216379
 1750.0    1981.6455101618176
 1800.0    1980.1049285600625
 1850.0    1978.5608688324264
 1900.0    1976.3402225337697
 1950.0    1974.8525052105028
 2000.0    1972.4707425059396
 2050.0    1971.6436999345931
 2100.0    1969.2446128146073
 2150.0    1968.4908320293259
 2200.0    1966.9023442448583
 2250.0    1965.3439499327762
 2300.0    1961.7131263706424
 2350.0    1960.5846524927892
 2400.0    1958.8207204899857
 2450.0    1957.0685373805952
 2500.0    1955.2886252259668
 2550.0    1954.1916019879159
 2600.0    1952.4337970332672
 2650.0    1950.6577416295361
 2700.0    1950.1869191584531
 2750.0    1948.4701258633515
 2800.0    1949.5529945803769
 2850.0    1948.0746531082734
 2900.0    1946.5811686804927
 2950.0    1944.5439510338847
 3000.0    1943.1019775587695
 3050.0    1942.0428483197315
 3100.0    1939.2213280048993
 3150.0    1937.5906851169193
 3200.0    1934.9677848565175
 3250.0    1934.5826614028829
 3300.0    1932.9479989503106
 3350.0    1931.6006501428089
 3400.0    1931.2623791516671
 3450.0    1928.9160289677779
 3500.0    1927.6469033794881
 3550.0    1926.5290755968842
 3600.0    1928.5098344816956
 3650.0    1928.1691786734923
 3700.0    1926.6108818378943
 3750.0    1925.4587356800200
 3800.0    1923.3484004850134
 3850.0    1921.7223790201215
 3900.0    1919.1580886239924
 3950.0    1917.6943486307043
 4000.0    1916.2384078704188
 4050.0    1914.6929548044729
 4100.0    1912.0383414903079
 4150.0    1910.7261951269234
 4200.0    1912.8559488245132
 4250.0    1911.5174064885425
 4300.0    1909.9448655387205
 4350.0    1908.7030077618724
 4400.0    1907.4548160476363
 4450.0    1905.9252216824448
 4500.0    1902.9026178021099
 4550.0    1901.3946443389050
 4600.0    1899.8779601038354
 4650.0    1899.3983845409477
 4700.0    1898.0058689232137
 4750.0    1894.7266149021812
 4800.0    1893.0794600227835
 4850.0    1891.4377574862074
 4900.0    1889.7949910870627
 4950.0    1888.6094386562456
 5000.0    1887.0605947196239
# P = 604.000000 (GPa)
    1.0    2042.2441020185749
   50.0    2040.9492905865800
  100.0    2039.0914357367958
  150.0    2037.4562256247145
  200.0    2035.8223289915084
  250.0    2034.1207572846772
  300.0    2032.7796659285239
  350.0    2031.0664951297429
  400.0    2028.8720965280190
  450.0    2027.7008409804357
  500.0    2026.3065137523818
  550.0    2024.4457135278842
  600.0    2022.8690880622362
  650.0    2021.3052488610545
  700.0    2019.7317673878651
  750.0    2017.9440385112948
  800.0    2016.4416963584240
  850.0    2014.1128668207934
  900.0    2012.8939300643990
  950.0    2010.7991058628743
 1000.0    2009.1738186954817
 1050.0    2007.4848881312776
 1100.0    2005.8146137136448
 1150.0    2004.2027035485596
 1200.0    2003.1988479321365
 1250.0    2000.9843435111686
 1300.0    1998.5332853514874
 1350.0    1996.7557701568376
 1400.0    1995.1707950409282
 1450.0    1994.5427048175611
 1500.0    1991.7337579695848
 1550.0    1991.5977979273348
