# T (K)     Gibbs free energy (Ry.)
  600.0       6.8333861820348
  600.0       6.8302290042484
  600.0       6.8220993489961
  600.0       6.8115257815217
  600.0       6.7993483400053
  600.0       6.7859738627331
  600.0       6.7716442677010
  600.0       6.7565202343778
  600.0       6.7407101446499
  600.0       6.7243071914803
  600.0       6.7073788421484
  600.0       6.6899681342830
  600.0       6.6721249907695
  600.0       6.6538844367588
  600.0       6.6352764207573
  600.0       6.6163282379966
  600.0       6.5970693736124
  600.0       6.5775052184293
  600.0       6.5576602615648
  600.0       6.5375500282710
  600.0       6.5171871461024
  600.0       6.4965867591703
  600.0       6.4757588063756
  600.0       6.4547136268390
  600.0       6.4334605999672
  600.0       6.4120083201231
  600.0       6.3903613025785
  600.0       6.3685337970231
  600.0       6.3465198673594
  600.0       6.3243438403332
  600.0       6.3020270087035
  600.0       6.2795104240563
  600.0       6.2568576602790
  600.0       6.2340529228563
  600.0       6.2111028130773
  600.0       6.1880118126480
  600.0       6.1647837991469
  600.0       6.1414225481324
  600.0       6.1179316349991
  600.0       6.0943144169443
  600.0       6.0705702364048
  600.0       6.0467031419120
  600.0       6.0227257164396
  600.0       5.9986324596247
  600.0       5.9744320604535
  600.0       5.9501159354578
  600.0       5.9256981509874
  600.0       5.9011758039906
  600.0       5.8765474485362
  600.0       5.8518223789956
  600.0       5.8269969160448
  600.0       5.8020742914024
  600.0       5.7770565321085
  600.0       5.7519548602829
  600.0       5.7267575808648
  600.0       5.7014656591343
  600.0       5.6760878852753
  600.0       5.6506148975259
  600.0       5.6250687861166
  600.0       5.5994411741110
  600.0       5.5737390769107
  600.0       5.5479475533519
  600.0       5.5220759434131
  600.0       5.4961232769871
  600.0       5.4700986201001
  600.0       5.4439972898647
  600.0       5.4178186726435
  600.0       5.3915694443631
  600.0       5.3652488214162
  600.0       5.3388559909881
  600.0       5.3123931885008
  600.0       5.2858553780819
  600.0       5.2592630572618
  600.0       5.2325929485226
  600.0       5.2058566299102
  600.0       5.1790617420180
  600.0       5.1521982596996
  600.0       5.1252664197114
  600.0       5.0982749660683
  600.0       5.0712223700445
  600.0       5.0441098455229
  600.0       5.0169356282633
  600.0       4.9896999588841
  600.0       4.9624113105084
  600.0       4.9350639779075
  600.0       4.9076547239410
  600.0       4.8801824070445
  600.0       4.8526595880845
  600.0       4.8250842352742
  600.0       4.7974466352274
  600.0       4.7697560245578
  600.0       4.7420120933318
  600.0       4.7142183841609
  600.0       4.6863685480437
  600.0       4.6584649258890
  600.0       4.6305114655129
  600.0       4.6025053984376
  600.0       4.5744496355200
  600.0       4.5463441280378
  600.0       4.5181876894754
  600.0       4.4899802029496
  602.0       6.8541786896565
  602.0       6.8510248616161
  602.0       6.8429003142912
  602.0       6.8323319463061
  602.0       6.8201597720452
  602.0       6.8067905360879
  602.0       6.7924662020902
  602.0       6.7773475466080
  602.0       6.7615427031770
  602.0       6.7451450058971
  602.0       6.7282221450545
  602.0       6.7108166963116
  602.0       6.6929788164459
  602.0       6.6747435276583
  602.0       6.6561407744860
  602.0       6.6371978617185
  602.0       6.6179442608138
  602.0       6.5983853971305
  602.0       6.5785457338953
  602.0       6.5584408019603
  602.0       6.5380832212548
  602.0       6.5174881353758
  602.0       6.4966654919250
  602.0       6.4756256246299
  602.0       6.4543779037739
  602.0       6.4329309394500
  602.0       6.4112891509643
  602.0       6.3894669583837
  602.0       6.3674586909862
  602.0       6.3452880083168
  602.0       6.3229765655442
  602.0       6.3004648540760
  602.0       6.2778175119870
  602.0       6.2550181102441
  602.0       6.2320732137880
  602.0       6.2089875452208
  602.0       6.1857648659295
  602.0       6.1624089521130
  602.0       6.1389233662121
  602.0       6.1153114877973
  602.0       6.0915726304975
  602.0       6.0677103103767
  602.0       6.0437382025734
  602.0       6.0196503016034
  602.0       5.9954553971767
  602.0       5.9711447941838
  602.0       5.9467320558182
  602.0       5.9222148962977
  602.0       5.8975918981790
  602.0       5.8728721694918
  602.0       5.8480520377107
  602.0       5.8231350149853
  602.0       5.7981229101765
  602.0       5.7730260063173
  602.0       5.7478342613224
  602.0       5.7225475493549
  602.0       5.6971628531548
  602.0       5.6716949824603
  602.0       5.6461540660446
  602.0       5.6205316426114
  602.0       5.5948475424776
  602.0       5.5690613303835
  602.0       5.5431952440865
  602.0       5.5172479146890
  602.0       5.4912286908162
  602.0       5.4651327382102
  602.0       5.4389594115415
  602.0       5.4127154803182
  602.0       5.3864003053323
  602.0       5.3600130260801
  602.0       5.3335555314666
  602.0       5.3070234461742
  602.0       5.2804362444282
  602.0       5.2537716237049
  602.0       5.2270406569131
  602.0       5.2002508961815
  602.0       5.1733928613121
  602.0       5.1464665892060
  602.0       5.1194809215317
  602.0       5.0924335864032
  602.0       5.0653263226710
  602.0       5.0381574119847
  602.0       5.0109273704950
  602.0       4.9836437001869
  602.0       4.9563017363055
  602.0       4.9288980285040
  602.0       4.9014310194635
  602.0       4.8739137514934
  602.0       4.8463438260004
  602.0       4.8187116387162
  602.0       4.7910267889465
  602.0       4.7632883133104
  602.0       4.7354996904346
  602.0       4.7076553529284
  602.0       4.6797571384041
  602.0       4.6518086030622
  602.0       4.6238085502186
  602.0       4.5957578754183
  602.0       4.5676574691313
  602.0       4.5395066552387
  602.0       4.5113052753667
  604.0       6.8749493729187
  604.0       6.8717988815832
  604.0       6.8636794292627
  604.0       6.8531162488666
  604.0       6.8409493257974
  604.0       6.8275853193380
  604.0       6.8132662333921
  604.0       6.7981529317492
  604.0       6.7823533230612
  604.0       6.7659608705043
  604.0       6.7490434662465
  604.0       6.7316432656276
  604.0       6.7138106385069
  604.0       6.6955806040758
  604.0       6.6769831030791
  604.0       6.6580454493383
  604.0       6.6387971037721
  604.0       6.6192435191635
  604.0       6.5994091371445
  604.0       6.5793094936974
  604.0       6.5589572014191
  604.0       6.5383674041428
  604.0       6.5175500570964
  604.0       6.4965154890690
  604.0       6.4752730619181
  604.0       6.4538314002360
  604.0       6.4321948337360
  604.0       6.4103779417340
  604.0       6.3883752967305
  604.0       6.3662099443527
  604.0       6.3439038790169
  604.0       6.3213970564414
  604.0       6.2987551173532
  604.0       6.2759610382904
  604.0       6.2530213505613
  604.0       6.2299410013250
  604.0       6.2067236436963
  604.0       6.1833730544785
  604.0       6.1598927840010
  604.0       6.1362862327492
  604.0       6.1125526865855
  604.0       6.0886951625221
  604.0       6.0647283613093
  604.0       6.0406458025916
  604.0       6.0164563719918
  604.0       5.9921512674846
  604.0       5.9677435812510
  604.0       5.9432316066950
  604.0       5.9186139527746
  604.0       5.8938995535571
  604.0       5.8690847418156
  604.0       5.8441732945501
  604.0       5.8191668150805
  604.0       5.7940747011099
  604.0       5.7688884690869
  604.0       5.7436069623809
  604.0       5.7182159866195
  604.0       5.6927532259823
  604.0       5.6672174956621
  604.0       5.6416002526113
  604.0       5.6159334836474
  604.0       5.5901525740578
  604.0       5.5642919915054
  604.0       5.5383499883942
  604.0       5.5123361828279
  604.0       5.4862455958563
  604.0       5.4600775516735
  604.0       5.4338389095866
  604.0       5.4075291674640
  604.0       5.3811474192839
  604.0       5.3546952243332
  604.0       5.3281688352603
  604.0       5.3015867547253
  604.0       5.2749276051570
  604.0       5.2482019798330
  604.0       5.2214173473774
  604.0       5.1945647457227
  604.0       5.1676440212422
  604.0       5.1406641101498
  604.0       5.1136220305316
  604.0       5.0865200224175
  604.0       5.0593564109572
  604.0       5.0321319757297
  604.0       5.0048532912612
  604.0       4.9775166867772
  604.0       4.9501185076722
  604.0       4.9226567985125
  604.0       4.8951450641315
  604.0       4.8675805543804
  604.0       4.8399537680100
  604.0       4.8122746531381
  604.0       4.7845416200518
  604.0       4.7567580861680
  604.0       4.7289192326404
  604.0       4.7010264147216
  604.0       4.6730828131216
  604.0       4.6450887393426
  604.0       4.6170431547782
  604.0       4.5889478512579
  604.0       4.5608026428412
  604.0       4.5326073315715
  606.0       6.8956983000173
  606.0       6.8925511324571
  606.0       6.8844367622390
  606.0       6.8738787575304
  606.0       6.8617170697007
  606.0       6.8483582809239
  606.0       6.8340444300779
  606.0       6.8189364585800
  606.0       6.8031420730676
  606.0       6.7867548540501
  606.0       6.7698428749843
  606.0       6.7524479114702
  606.0       6.7346205261655
  606.0       6.7163957351925
  606.0       6.6978034756859
  606.0       6.6788710699862
  606.0       6.6596279715290
  606.0       6.6400796535874
  606.0       6.6202505403829
  606.0       6.6001561725750
  606.0       6.5798091557209
  606.0       6.5592246346170
  606.0       6.5384125710675
  606.0       6.5173832893633
  606.0       6.4961461436156
  606.0       6.4747097717237
  606.0       6.4530784200300
  606.0       6.4312668162312
  606.0       6.4092697544149
  606.0       6.3871097183141
  606.0       6.3648090189824
  606.0       6.3423071003798
  606.0       6.3196705457719
  606.0       6.2968817764244
  606.0       6.2739472926661
  606.0       6.2508722502466
  606.0       6.2276602017561
  606.0       6.2043149245649
  606.0       6.1808399577112
  606.0       6.1572387211698
  606.0       6.1335104740487
  606.0       6.1096577669892
  606.0       6.0856962612853
  606.0       6.0616190312805
  606.0       6.0374350538037
  606.0       6.0131354245316
  606.0       5.9887327960741
  606.0       5.9642260037815
  606.0       5.9396136809661
  606.0       5.9149045998414
  606.0       5.8900950970100
  606.0       5.8651891990697
  606.0       5.8401883161729
  606.0       5.8151010133113
  606.0       5.7899202730296
  606.0       5.7646439669472
  606.0       5.7392473412223
  606.0       5.7137896836169
  606.0       5.6882591305003
  606.0       5.6626470596294
  606.0       5.6369969689874
  606.0       5.6112213529021
  606.0       5.5853662543756
  606.0       5.5594295668022
  606.0       5.5334211649128
  606.0       5.5073359316043
  606.0       5.4811731617850
  606.0       5.4549398008522
  606.0       5.4286354765752
  606.0       5.4022592395485
  606.0       5.3758123359984
  606.0       5.3492916145991
  606.0       5.3227146571533
  606.0       5.2960609619931
  606.0       5.2693406677739
  606.0       5.2425611644769
  606.0       5.2157139818724
  606.0       5.1887987849471
  606.0       5.1618246014074
  606.0       5.1347877718063
  606.0       5.1076910140316
  606.0       5.0805326943862
  606.0       5.0533138440042
  606.0       5.0260401527928
  606.0       4.9987088983538
  606.0       4.9713162306059
  606.0       4.9438598133032
  606.0       4.9163535952398
  606.0       4.8887944896731
  606.0       4.8611730923868
  606.0       4.8334996866959
  606.0       4.8057720831648
  606.0       4.7779936407237
  606.0       4.7501602566188
  606.0       4.7222728242867
  606.0       4.6943341647801
  606.0       4.6663460353530
  606.0       4.6383055429146
  606.0       4.6102153435158
  606.0       4.5820757215394
  606.0       4.5538864413129
  608.0       6.9164255387338
  608.0       6.9132816821287
  608.0       6.9051723811396
  608.0       6.8946195402205
  608.0       6.8824630717896
  608.0       6.8691094888782
  608.0       6.8548008602027
  608.0       6.8396981954621
  608.0       6.8239090215520
  608.0       6.8075270248753
  608.0       6.7906204401157
  608.0       6.7732307026603
  608.0       6.7554085482117
  608.0       6.7371889897737
  608.0       6.7186019610450
  608.0       6.6996747923821
  608.0       6.6804369327141
  608.0       6.6608938690415
  608.0       6.6410700122627
  608.0       6.6209809072745
  608.0       6.6006391528753
  608.0       6.5800598955329
  608.0       6.5592531025989
  608.0       6.5382290942980
  608.0       6.5169972176666
  608.0       6.4955661227443
  608.0       6.4739399785727
  608.0       6.4521336506195
  608.0       6.4301421334364
  608.0       6.4079873996501
  608.0       6.3856920548841
  608.0       6.3631950547073
  608.0       6.3405638662241
  608.0       6.3177803936565
  608.0       6.2948511089493
  608.0       6.2717813608561
  608.0       6.2485746090053
  608.0       6.2252346312960
  608.0       6.2017649562743
  608.0       6.1781690220072
  608.0       6.1544460618480
  608.0       6.1305981920116
  608.0       6.1066419707325
  608.0       6.0825700559541
  608.0       6.0583915111035
  608.0       6.0340973340761
  608.0       6.0096997686650
  608.0       5.9851981557493
  608.0       5.9605911509901
  608.0       5.9358873765857
  608.0       5.9110831715294
  608.0       5.8861827971018
  608.0       5.8611874823933
  608.0       5.8361050111656
  608.0       5.8109297416129
  608.0       5.7856586313752
  608.0       5.7602569721982
  608.0       5.7348044105662
  608.0       5.7092790257621
  608.0       5.6836721188618
  608.0       5.6580380666564
  608.0       5.6322677350292
  608.0       5.6064181009908
