# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
 3450.0     124.7155558358497
 3500.0     124.7155978621925
 3550.0     124.7156381253309
 3600.0     124.7156767225363
 3650.0     124.7157137444634
 3700.0     124.7157492756831
 3750.0     124.7157833951669
 3800.0     124.7158161767236
 3850.0     124.7158476894019
 3900.0     124.7158779978531
 3950.0     124.7159071626620
 4000.0     124.7159352406512
 4050.0     124.7159622851574
 4100.0     124.7159883462850
 4150.0     124.7160134711396
 4200.0     124.7160377040372
 4250.0     124.7160610867046
 4300.0     124.7160836584560
 4350.0     124.7161054563603
 4400.0     124.7161265153899
 4450.0     124.7161468685657
 4500.0     124.7161665470836
 4550.0     124.7161855804352
 4600.0     124.7162039965184
 4650.0     124.7162218217380
 4700.0     124.7162390811032
 4750.0     124.7162557983130
 4800.0     124.7162719958401
 4850.0     124.7162876950020
 4900.0     124.7163029160362
 4950.0     124.7163176781647
 5000.0     124.7163319996498
# V = 151.027900 (a.u.^3)
    5.0       9.7196319634373
   50.0     117.7846227122924
  100.0     122.9217058427329
  150.0     123.9137846417251
  200.0     124.2641496806823
  250.0     124.4268746317562
  300.0     124.5154164587112
  350.0     124.5688548454972
  400.0     124.6035587503983
  450.0     124.6273608897586
  500.0     124.6443910415573
  550.0     124.6569939096792
  600.0     124.6665808380190
  650.0     124.6740425678144
  700.0     124.6799637484814
  750.0     124.6847409944510
  800.0     124.6886510458892
  850.0     124.6918917548057
  900.0     124.6946076078681
  950.0     124.6969061107740
 1000.0     124.6988685908315
 1050.0     124.7005574897154
 1100.0     124.7020213916104
 1150.0     124.7032985561642
 1200.0     124.7044194435894
 1250.0     124.7054085475958
 1300.0     124.7062857447798
 1350.0     124.7070673009506
 1400.0     124.7077666305685
 1450.0     124.7083948761613
 1500.0     124.7089613548894
 1550.0     124.7094739059659
 1600.0     124.7099391633111
 1650.0     124.7103627712769
 1700.0     124.7107495566337
 1750.0     124.7111036666733
 1800.0     124.7114286808393
 1850.0     124.7117277015313
 1900.0     124.7120034284149
 1950.0     124.7122582195642
 2000.0     124.7124941420474
 2050.0     124.7127130139789
 2100.0     124.7129164396532
 2150.0     124.7131058390245
 2200.0     124.7132824725524
 2250.0     124.7134474622271
 2300.0     124.7136018094298
 2350.0     124.7137464101627
 2400.0     124.7138820680806
 2450.0     124.7140095056826
 2500.0     124.7141293739506
 2550.0     124.7142422606797
 2600.0     124.7143486976969
 2650.0     124.7144491671361
 2700.0     124.7145441069088
 2750.0     124.7146339154831
 2800.0     124.7147189560704
 2850.0     124.7147995603062
 2900.0     124.7148760314839
 2950.0     124.7149486474168
 3000.0     124.7150176629603
 3050.0     124.7150833122544
 3100.0     124.7151458107124
 3150.0     124.7152053567848
 3200.0     124.7152621335433
 3250.0     124.7153163100869
 3300.0     124.7153680428002
 3350.0     124.7154174764875
 3400.0     124.7154647453829
 3450.0     124.7155099740667
 3500.0     124.7155532782825
 3550.0     124.7155947656825
 3600.0     124.7156345364953
 3650.0     124.7156726841317
 3700.0     124.7157092957342
 3750.0     124.7157444526738
 3800.0     124.7157782310061
 3850.0     124.7158107018784
 3900.0     124.7158419319073
 3950.0     124.7158719835199
 4000.0     124.7159009152662
 4050.0     124.7159287821056
 4100.0     124.7159556356658
 4150.0     124.7159815244834
 4200.0     124.7160064942238
 4250.0     124.7160305878809
 4300.0     124.7160538459656
 4350.0     124.7160763066725
 4400.0     124.7160980060384
 4450.0     124.7161189780881
 4500.0     124.7161392549660
 4550.0     124.7161588670603
 4600.0     124.7161778431166
 4650.0     124.7161962103440
 4700.0     124.7162139945110
 4750.0     124.7162312200378
 4800.0     124.7162479100793
 4850.0     124.7162640866030
 4900.0     124.7162797704610
 4950.0     124.7162949814583
 5000.0     124.7163097384137
# V = 149.070900 (a.u.^3)
    5.0       9.3876866179817
   50.0     117.5933559336520
  100.0     122.8701786676659
  150.0     123.8905587447532
  200.0     124.2510200464866
  250.0     124.4184521154038
  300.0     124.5095599635792
  350.0     124.5645486745758
  400.0     124.6002600474210
  450.0     124.6247534717022
  500.0     124.6422783793091
  550.0     124.6552474631907
  600.0     124.6651130154715
  650.0     124.6727916321314
  700.0     124.6788849382298
  750.0     124.6838010670754
  800.0     124.6878247978355
  850.0     124.6911597308516
  900.0     124.6939545512303
  950.0     124.6963198888766
 1000.0     124.6983394347649
 1050.0     124.7000774454964
 1100.0     124.7015839174968
 1150.0     124.7028982226065
 1200.0     124.7040517065527
 1250.0     124.7050695751363
 1300.0     124.7059722828354
 1350.0     124.7067765683846
 1400.0     124.7074962362730
 1450.0     124.7081427530122
 1500.0     124.7087257066785
 1550.0     124.7092531644316
 1600.0     124.7097319530931
 1650.0     124.7101678811451
 1700.0     124.7105659157192
 1750.0     124.7109303247075
 1800.0     124.7112647916436
 1850.0     124.7115725091473
 1900.0     124.7118562553920
 1950.0     124.7121184570278
 2000.0     124.7123612412354
 2050.0     124.7125864790038
 2100.0     124.7127958212819
 2150.0     124.7129907293209
 2200.0     124.7131725002365
 2250.0     124.7133422886496
 2300.0     124.7135011250639
 2350.0     124.7136499315404
 2400.0     124.7137895351062
 2450.0     124.7139206792735
 2500.0     124.7140440339563
 2550.0     124.7141602040444
 2600.0     124.7142697368334
 2650.0     124.7143731284794
 2700.0     124.7144708296294
 2750.0     124.7145632503411
 2800.0     124.7146507643890
 2850.0     124.7147337130538
 2900.0     124.7148124084506
 2950.0     124.7148871364720
 3000.0     124.7149581593865
 3050.0     124.7150257181439
 3100.0     124.7150900344207
 3150.0     124.7151513124423
 3200.0     124.7152097406032
 3250.0     124.7152654929202
 3300.0     124.7153187303286
 3350.0     124.7153696018414
 3400.0     124.7154182455988
 3450.0     124.7154647898033
 3500.0     124.7155093535664
 3550.0     124.7155520476708
 3600.0     124.7155929752590
 3650.0     124.7156322324599
 3700.0     124.7156699089502
 3750.0     124.7157060884687
 3800.0     124.7157408492811
 3850.0     124.7157742646056
 3900.0     124.7158064029951
 3950.0     124.7158373286940
 4000.0     124.7158671019540
 4050.0     124.7158957793334
 4100.0     124.7159234139614
 4150.0     124.7159500557863
 4200.0     124.7159757518017
 4250.0     124.7160005462526
 4300.0     124.7160244808271
 4350.0     124.7160475948309
 4400.0     124.7160699253504
 4450.0     124.7160915073984
 4500.0     124.7161123740553
 4550.0     124.7161325565927
 4600.0     124.7161520845923
 4650.0     124.7161709860539
 4700.0     124.7161892874966
 4750.0     124.7162070140505
 4800.0     124.7162241895438
 4850.0     124.7162408365830
 4900.0     124.7162569766267
 4950.0     124.7162726300566
 5000.0     124.7162878162384
# V = 147.248850 (a.u.^3)
    5.0       9.0786941714134
   50.0     117.4048717598340
  100.0     122.8192866007168
  150.0     123.8676092378000
  200.0     124.2380446969546
  250.0     124.4101279958225
  300.0     124.5037716759534
  350.0     124.5602925661403
  400.0     124.5969996536353
  450.0     124.6221763155459
  500.0     124.6401902281472
  550.0     124.6535212757172
  600.0     124.6636622195361
  650.0     124.6715552084746
  700.0     124.6778186453695
  750.0     124.6828720483176
  800.0     124.6870081419992
  850.0     124.6904362082935
  900.0     124.6933090819937
  950.0     124.6957404809572
 1000.0     124.6978164324059
 1050.0     124.6996029868195
 1100.0     124.7011515364979
 1150.0     124.7025025525867
 1200.0     124.7036882560672
 1250.0     124.7047345565845
 1300.0     124.7056624798087
 1350.0     124.7064892319195
 1400.0     124.7072290029235
 1450.0     124.7078935795665
 1500.0     124.7084928177026
 1550.0     124.7090350098014
 1600.0     124.7095271733538
 1650.0     124.7099752790750
 1700.0     124.7103844328304
 1750.0     124.7107590217196
 1800.0     124.7111028321630
 1850.0     124.7114191459552
 1900.0     124.7117108188707
 1950.0     124.7119803453414
 2000.0     124.7122299119660
 2050.0     124.7124614419957
 2100.0     124.7126766324974
 2150.0     124.7128769855375
 2200.0     124.7130638344673
 2250.0     124.7132383661588
 2300.0     124.7134016399037
 2350.0     124.7135546035185
 2400.0     124.7136981071335
 2450.0     124.7138329150300
 2500.0     124.7139597158371
 2550.0     124.7140791313417
 2600.0     124.7141917241273
 2650.0     124.7142980042101
 2700.0     124.7143984348267
 2750.0     124.7144934374894
 2800.0     124.7145833964148
 2850.0     124.7146686624162
 2900.0     124.7147495563292
 2950.0     124.7148263720330
 3000.0     124.7148993791215
 3050.0     124.7149688252765
 3100.0     124.7150349383674
 3150.0     124.7150979283239
 3200.0     124.7151579888046
 3250.0     124.7152152986869
 3300.0     124.7152700234019
 3350.0     124.7153223161261
 3400.0     124.7153723188587
 3450.0     124.7154201633833
 3500.0     124.7154659721390
 3550.0     124.7155098590032
 3600.0     124.7155519300015
 3650.0     124.7155922839455
 3700.0     124.7156310130191
 3750.0     124.7156682032997
 3800.0     124.7157039352400
 3850.0     124.7157382841026
 3900.0     124.7157713203577
 3950.0     124.7158031100420
 4000.0     124.7158337150921
 4050.0     124.7158631936458
 4100.0     124.7158916003160
 4150.0     124.7159189864482
 4200.0     124.7159454003463
 4250.0     124.7159708874932
 4300.0     124.7159954907410
 4350.0     124.7160192504941
 4400.0     124.7160422048733
 4450.0     124.7160643898723
 4500.0     124.7160858394934
 4550.0     124.7161065858817
 4600.0     124.7161266594468
 4650.0     124.7161460889704
 4700.0     124.7161649017118
 4750.0     124.7161831235033
 4800.0     124.7162007788388
 4850.0     124.7162178909581
 4900.0     124.7162344819167
 4950.0     124.7162505726663
 5000.0     124.7162661831142
# V = 145.494250 (a.u.^3)
    5.0       8.7896427850079
   50.0     117.2188304628836
  100.0     122.7689431578118
  150.0     123.8448975259430
  200.0     124.2252018831424
  250.0     124.4018883367790
  300.0     124.4980419076953
  350.0     124.5560793949455
  400.0     124.5937721077847
  450.0     124.6196251011229
  500.0     124.6381230842470
  550.0     124.6518124475117
  600.0     124.6622260099529
  650.0     124.6703312141966
  700.0     124.6767630710248
  750.0     124.6819523682415
  800.0     124.6861996958224
