# T (K)     Thermal pressure (GPa)
# V=  41.1649000000000
 2550.0     -11.9438958184235
 2600.0     -12.3048122046590
 2650.0     -12.6663932163810
 2700.0     -13.0303960757033
 2750.0     -13.3954777270537
 2800.0     -13.7616429761149
 2850.0     -14.1294328398492
 2900.0     -14.4986880121260
 2950.0     -14.8694140621476
 3000.0     -15.2399444674028
 3050.0     -15.6132746094084
 3100.0     -15.9878550454724
 3150.0     -16.3628829203864
 3200.0     -16.7396027793549
 3250.0     -17.1177975623139
 3300.0     -17.4962409995351
 3350.0     -17.8761603243331
 3400.0     -18.2573566377965
 3450.0     -18.6395693347430
 3500.0     -19.0224206321798
 3550.0     -19.4071673773688
 3600.0     -19.7931825491869
 3650.0     -20.1792313730319
 3700.0     -20.5668418313859
 3750.0     -20.9556522854097
 3800.0     -21.3449945696617
 3850.0     -21.7355820768951
 3900.0     -22.1273582372442
 3950.0     -22.5198591165679
 4000.0     -22.9134360768128
 4050.0     -23.3078938121005
 4100.0     -23.7032959517912
 4150.0     -24.0994929195263
 4200.0     -24.4965402603397
 4250.0     -24.8948659208739
 4300.0     -25.2936349617635
 4350.0     -25.6934669934990
 4400.0     -26.0942561236621
 4450.0     -26.4957320499627
 4500.0     -26.8980311729417
 4550.0     -27.3015954908612
 4600.0     -27.7057508301559
 4650.0     -28.1104405740060
 4700.0     -28.5161615307691
 4750.0     -28.9231973867857
 4800.0     -29.3299554196394
 4850.0     -29.7381514641874
 4900.0     -30.1471298959004
 4950.0     -30.5566583986125
 5000.0     -30.9670426027085
# V=  40.8308898989899
    0.0       0.0000000000000
   50.0       0.0776110135380
  100.0       0.1373463252513
  150.0       0.1718436621570
  200.0       0.1538646361164
  250.0       0.1957148959515
  300.0       0.2029720237036
  350.0       0.0684955687703
  400.0       0.0905815956186
  450.0      -0.0065657790776
  500.0       0.1047937913147
  550.0       0.0101505161088
  600.0      -0.0764267823034
  650.0      -0.1723541342501
  700.0      -0.2856770035690
  750.0      -0.4209128625009
  800.0      -0.5635994892019
  850.0      -0.7481119757731
  900.0      -1.0025791375911
  950.0      -1.2699466131834
 1000.0      -2.2456791502937
 1050.0      -2.3795589819856
 1100.0      -2.4571654307375
 1150.0      -2.5225606442458
 1200.0      -2.6821346680298
 1250.0      -2.9534519083767
 1300.0      -3.2457198585910
 1350.0      -3.5386029035061
 1400.0      -3.8364713561359
 1450.0      -4.1361146939061
 1500.0      -4.4392416493075
 1550.0      -4.7437009260927
 1600.0      -5.0510579028751
 1650.0      -5.3601078191322
 1700.0      -5.6725889600567
 1750.0      -5.9863744048685
 1800.0      -6.3026149124269
 1850.0      -6.6205124781191
 1900.0      -6.9414213571663
 1950.0      -7.2631801601628
 2000.0      -7.5877217677389
 2050.0      -7.9126952742943
 2100.0      -8.2403916307627
 2150.0      -8.5694362486189
 2200.0      -8.9018444767817
 2250.0      -9.2342135857903
 2300.0      -9.5685434949339
 2350.0      -9.9049562244527
 2400.0     -10.2427307953933
 2450.0     -10.5815948966332
 2500.0     -10.9226938770664
 2550.0     -11.2654738828014
 2600.0     -11.6093519604566
 2650.0     -11.9539091459739
 2700.0     -12.3008171105184
 2750.0     -12.6487974200455
 2800.0     -12.9978514505239
 2850.0     -13.3484950840118
 2900.0     -13.7005762371933
 2950.0     -14.0540990053101
 3000.0     -14.4074741977347
 3050.0     -14.7635564184753
 3100.0     -15.1208683958203
 3150.0     -15.4786433314709
 3200.0     -15.8380682167650
 3250.0     -16.1989339453087
 3300.0     -16.5600731731259
 3350.0     -16.9226529338852
 3400.0     -17.2864862142670
 3450.0     -17.6513211589429
 3500.0     -18.0167983216409
 3550.0     -18.3841139008473
 3600.0     -18.7526716734543
 3650.0     -19.1212940226754
 3700.0     -19.4914358168410
 3750.0     -19.8627528269928
 3800.0     -20.2346076857045
 3850.0     -20.6076792844397
 3900.0     -20.9819139849214
 3950.0     -21.3568683863799
 4000.0     -21.7328783558035
 4050.0     -22.1097563654153
 4100.0     -22.4875637744316
 4150.0     -22.8661560530726
 4200.0     -23.2455861455062
 4250.0     -23.6262630083753
 4300.0     -24.0073895598234
 4350.0     -24.3895554248425
 4400.0     -24.7726606844320
 4450.0     -25.1564468871890
 4500.0     -25.5410438110398
 4550.0     -25.9268716796458
 4600.0     -26.3132870235479
 4650.0     -26.7002380254842
 4700.0     -27.0881968549921
 4750.0     -27.4774332549916
 4800.0     -27.8664296219686
 4850.0     -28.2568203105749
 4900.0     -28.6479803126035
 4950.0     -29.0396878010965
 5000.0     -29.4322346528779
# V=  40.7640878787879
    0.0       0.0000000000000
   50.0       0.0813518025544
  100.0       0.1465919521617
  150.0       0.1866430085513
  200.0       0.1760702783220
  250.0       0.2216488087176
  300.0       0.2339288260583
  350.0       0.1112186908085
  400.0       0.1369671377091
  450.0       0.0488349294772
  500.0       0.1587458131905
  550.0       0.0726479806240
  600.0      -0.0059622637443
  650.0      -0.0937357810581
  700.0      -0.1982237153813
  750.0      -0.3237305537182
  800.0      -0.4564692950776
  850.0      -0.6291197892778
  900.0      -0.8684068656221
  950.0      -1.1201218126429
 1000.0      -2.0455560838190
 1050.0      -2.1705952724914
 1100.0      -2.2422646005687
 1150.0      -2.3023543977177
 1200.0      -2.4521399933614
 1250.0      -2.7082933087200
 1300.0      -2.9844626389004
 1350.0      -3.2613125713179
 1400.0      -3.5429891565238
 1450.0      -3.8264427091964
 1500.0      -4.1132921033209
 1550.0      -4.4014881501339
 1600.0      -4.6925186677173
 1650.0      -4.9852347508905
 1700.0      -5.2812871944762
 1750.0      -5.5786510381906
 1800.0      -5.8784183192905
 1850.0      -6.1798284170454
 1900.0      -6.4841682336271
 1950.0      -6.7893796548497
 2000.0      -7.0972997661663
 2050.0      -7.4056904832343
 2100.0      -7.7167297642441
 2150.0      -8.0291086833607
 2200.0      -8.3447425071835
 2250.0      -8.6603945370711
 2300.0      -8.9779642996856
 2350.0      -9.2975684379655
 2400.0      -9.6185179305423
 2450.0      -9.9405545526186
 2500.0     -10.2647654214450
 2550.0     -10.5906240146837
 2600.0     -10.9175730446462
 2650.0     -11.2452154280327
 2700.0     -11.5751382078164
 2750.0     -11.9061267875452
 2800.0     -12.2381794360301
 2850.0     -12.5717868350982
 2900.0     -12.9068043283970
 2950.0     -13.2432343657223
 3000.0     -13.5795641982380
 3050.0     -13.9185095592009
 3100.0     -14.2586641638121
 3150.0     -14.5992971645251
 3200.0     -14.9415384030267
 3250.0     -15.2851866490166
 3300.0     -15.6291330310586
 3350.0     -15.9744848527196
 3400.0     -16.3210669862718
 3450.0     -16.6686361057591
 3500.0     -17.0168509913892
 3550.0     -17.3668479849738
 3600.0     -17.7180609428132
 3650.0     -18.0693692017878
 3700.0     -18.4221550958603
 3750.0     -18.7760915568915
 3800.0     -19.1305717459923
 3850.0     -19.4862406494536
 3900.0     -19.8430472216996
 3950.0     -20.2005685136710
 4000.0     -20.5591250484692
 4050.0     -20.9185370927510
 4100.0     -21.2788634742765
 4150.0     -21.6399648935802
 4200.0     -22.0018915673905
 4250.0     -22.3650339890570
 4300.0     -22.7286321421319
 4350.0     -23.0932461846478
 4400.0     -23.4587820730313
 4450.0     -23.8249929903672
 4500.0     -24.1920023655279
 4550.0     -24.5602088578484
 4600.0     -24.9289992283483
 4650.0     -25.2983263327509
 4700.0     -25.6686382550192
 4750.0     -26.0401907272835
 4800.0     -26.4115404809962
 4850.0     -26.7842413051958
