# T (K)      fittedE (Ry.)      P (GPa)
# V = 41.164900 (a.u.^3)
    0.0       0.6728523065384     543.8656376746833
   50.0       0.6735232060640     543.9247004766509
  100.0       0.6745666343569     543.9570735058916
  150.0       0.6754243761564     543.9639934600974
  200.0       0.6763858543932     543.9088772299839
  250.0       0.6773276815892     543.9326291587283
  300.0       0.6782055187227     543.9151056885274
  350.0       0.6791447606726     543.7209807998019
  400.0       0.6801060190502     543.7253439430804
  450.0       0.6810792383284     543.5827925614332
  500.0       0.6819994330373     543.7028801659034
  550.0       0.6828446830438     543.5652768080887
  600.0       0.6838104431503     543.4387371767206
  650.0       0.6847398789635     543.3018855142142
  700.0       0.6856614455765     543.1441201092571
  750.0       0.6865876696328     542.9598211223800
  800.0       0.6875158055055     542.7669432368206
  850.0       0.6883673858093     542.5223426271274
  900.0       0.6893893357656     542.1906270133669
  950.0       0.6898639902972     541.8435711546567
 1000.0       0.6908694551128     540.6089520651411
 1050.0       0.6924034798396     540.4306240469491
 1100.0       0.6932173137566     540.3235904074387
 1150.0       0.6941421370179     540.2320383252592
 1200.0       0.6949548518066     540.0231219376517
 1250.0       0.6958196358324     539.6746611129497
 1300.0       0.6967554102955     539.3004172665641
 1350.0       0.6976864071409     538.9258997371703
 1400.0       0.6986165890087     538.5455783069913
 1450.0       0.6995487779714     538.1634951225768
 1500.0       0.7004800553897     537.7774753124787
 1550.0       0.7014120410240     537.3902001780752
 1600.0       0.7023439221493     536.9997028274062
 1650.0       0.7032748137555     536.6074756923352
 1700.0       0.7042060804286     536.2113288678351
 1750.0       0.7051382569515     535.8139163155637
 1800.0       0.7060699894418     535.4137832406852
 1850.0       0.7070006477095     535.0119215654730
 1900.0       0.7079325188150     534.6066277836666
 1950.0       0.7088641717453     534.2005982138919
 2000.0       0.7097962446205     533.7914041532041
 2050.0       0.7107285261730     533.3819795749081
 2100.0       0.7116595965447     532.9694499540741
 2150.0       0.7125894348016     532.5555291514321
 2200.0       0.7135210224596     532.1376831391543
 2250.0       0.7144550369917     531.7201741983481
 2300.0       0.7153848269634     531.3004831591965
 2350.0       0.7163162419687     530.8784610700390
 2400.0       0.7172490476770     530.4549919069846
 2450.0       0.7181801595454     530.0304230061490
 2500.0       0.7191101537728     529.6033065872775
 2550.0       0.7200419793870     529.1743382535234
 2600.0       0.7209755461977     528.7442332839819
 2650.0       0.7219065810603     528.3135241213303
 2700.0       0.7228366999172     527.8801016466369
 2750.0       0.7237697011856     527.4455744365790
 2800.0       0.7247011053316     527.0099236889747
 2850.0       0.7256322132323     526.5725051565545
 2900.0       0.7265625672115     526.1335078492215
 2950.0       0.7274970043748     525.6929200814503
 3000.0       0.7284285735870     525.2527259550159
 3050.0       0.7293563806429     524.8093519447852
 3100.0       0.7302903782910     524.3646441024637
 3150.0       0.7312224133264     523.9195529406110
 3200.0       0.7321518678735     523.4725977782168
 3250.0       0.7330849683825     523.0240277268385
 3300.0       0.7340177103744     522.5753125618129
 3350.0       0.7349479102945     522.1249760485083
 3400.0       0.7358792517114     521.6732670984156
 3450.0       0.7368123115992     521.2204816836007
 3500.0       0.7377434102817     520.7670733388217
 3550.0       0.7386721615888     520.3115358112842
 3600.0       0.7396060980921     519.8546217721318
 3650.0       0.7405383578928     519.3978023318398
 3700.0       0.7414678339021     518.9392484933642
 3750.0       0.7424010914310     518.4793927109712
 3800.0       0.7433329649169     518.0190306905488
 3850.0       0.7442630305737     517.5573073023317
 3900.0       0.7451949672235     517.0942903566646
 3950.0       0.7461268491588     516.6305287180219
 4000.0       0.7470581878469     516.1656069623001
 4050.0       0.7479898242321     515.6997526673526
 4100.0       0.7489214460407     515.2328927190271
 4150.0       0.7498539077755     514.7651976476012
 4200.0       0.7507842951779     514.2966009574541
 4250.0       0.7517159966061     513.8265970107561
 4300.0       0.7526485832677     513.3561757372802
 4350.0       0.7535790668484     512.8845944283850
 4400.0       0.7545108624177     512.4119840256501
 4450.0       0.7554432164304     511.9386631576683
 4500.0       0.7563735419419     511.4644680392661
 4550.0       0.7573046312781     510.9888678201334
 4600.0       0.7582378142466     510.5126621891172
 4650.0       0.7591697136620     510.0359277533702
 4700.0       0.7600984566709     509.5580666035085
 4750.0       0.7610320948682     509.0787369501622
 4800.0       0.7619650797713     508.5998413801966
 4850.0       0.7628939590569     508.1193285592354
 4900.0       0.7638268422650     507.6379797883679
 4950.0       0.7647587905714     507.1560714025059
 5000.0       0.7656889996641     506.6732397356042
# V = 41.098098 (a.u.^3)
    0.0       0.6753277457305     546.3733917538036
   50.0       0.6759987237385     546.4361431314757
  100.0       0.6770422284232     546.4739664661582
  150.0       0.6779007466405     546.4863760531928
  200.0       0.6788619686249     546.4386993871160
  250.0       0.6798023501432     546.4659996244299
  300.0       0.6806851928240     546.4533880190771
  350.0       0.6816222097740     546.2712962654491
  400.0       0.6825837582376     546.2791268332094
  450.0       0.6835536387178     546.1456969309932
  500.0       0.6844727497525     546.2638466572499
  550.0       0.6853274947955     546.1348636894905
  600.0       0.6862902192123     546.0163312969817
  650.0       0.6872214810636     545.8876829876450
  700.0       0.6881444143270     545.7388388811474
  750.0       0.6890718697299     545.5644046662104
  800.0       0.6900004196426     545.3816215067460
  850.0       0.6908622321919     545.1491370802240
  900.0       0.6918728472445     544.8330427601403
  950.0       0.6924090592433     544.5021061487440
 1000.0       0.6934046491970     543.3202129501973
 1050.0       0.6948613306467     543.1508043441221
 1100.0       0.6956893472154     543.0496214454905
 1150.0       0.6966138395312     542.9632516039429
 1200.0       0.6974446968756     542.7642534101534
