#T (K)    alpha (10^(-5) K^(-1))
#P= 600.000000 GPa
 4350.0      -0.0751769342535
 4400.0      -0.0751270841208
 4450.0      -0.0750425419260
 4500.0      -0.0750468414730
 4550.0      -0.0750005571961
 4600.0      -0.0748642530693
 4650.0      -0.0747883078395
 4700.0      -0.0748322888084
 4750.0      -0.0746678465281
 4800.0      -0.0745260435933
 4850.0      -0.0745474152307
 4900.0      -0.0744009197380
 4950.0      -0.0742902860418
 5000.0      -0.0742456746346

#P= 604.000000 GPa
    0.0       0.0000000000000
   50.0       0.1962628218921
  100.0       0.1842564723002
  150.0       0.1458826530213
  200.0       0.1345856055925
  250.0       0.1381576084542
  300.0       0.0887036126422
  350.0       0.0972536150539
  400.0       0.0870230742998
  450.0       0.0965434419357
  500.0       0.1019315800321
  550.0       0.0518034733170
  600.0       0.0603861111065
  650.0       0.0481369660892
  700.0       0.0395695585841
  750.0       0.0317545006913
  800.0       0.0274211143682
  850.0      -0.0057632004224
  900.0       0.0224457858888
  950.0      -0.1418601959553
 1000.0      -0.1225050783530
 1050.0       0.0632145575123
 1100.0       0.0283573236235
 1150.0       0.0280502762313
 1200.0      -0.0122948330589
 1250.0      -0.0312526175164
 1300.0      -0.0323516213559
 1350.0      -0.0345437629626
 1400.0      -0.0366489347380
 1450.0      -0.0384268789035
 1500.0      -0.0400889493542
 1550.0      -0.0415699318520
 1600.0      -0.0430780633286
 1650.0      -0.0446029367278
 1700.0      -0.0460284605290
 1750.0      -0.0471937498070
 1800.0      -0.0483943365550
 1850.0      -0.0496862030920
 1900.0      -0.0507409240676
 1950.0      -0.0517718703010
 2000.0      -0.0526873144850
 2050.0      -0.0535318420919
 2100.0      -0.0544953157717
 2150.0      -0.0555356736096
 2200.0      -0.0563583297450
 2250.0      -0.0568087115482
 2300.0      -0.0577519046763
 2350.0      -0.0584647240073
 2400.0      -0.0589775470894
 2450.0      -0.0596432840680
 2500.0      -0.0603858791704
 2550.0      -0.0609209024979
 2600.0      -0.0612533589532
 2650.0      -0.0618082333141
 2700.0      -0.0624171308242
 2750.0      -0.0627371428194
 2800.0      -0.0631712026771
 2850.0      -0.0636183323071
 2900.0      -0.0640979239969
 2950.0      -0.0642268718186
 3000.0      -0.0645597810727
 3050.0      -0.0651737665442
 3100.0      -0.0652883607967
 3150.0      -0.0655370073428
 3200.0      -0.0659541165162
 3250.0      -0.0660960422543
 3300.0      -0.0662451530378
 3350.0      -0.0665606113851
 3400.0      -0.0667848957915
 3450.0      -0.0668758176413
 3500.0      -0.0670789597808
 3550.0      -0.0674101644448
 3600.0      -0.0674336465072
 3650.0      -0.0675042493686
 3700.0      -0.0677617910959
 3750.0      -0.0678188622216
 3800.0      -0.0678893045507
 3850.0      -0.0680629779362
 3900.0      -0.0681251267337
 3950.0      -0.0681887712145
 4000.0      -0.0682743635260
 4050.0      -0.0683283808229
 4100.0      -0.0683787580503
 4150.0      -0.0683710299142
 4200.0      -0.0684662449793
 4250.0      -0.0684933443252
 4300.0      -0.0684606974129
 4350.0      -0.0685254378193
 4400.0      -0.0685263892443
 4450.0      -0.0684937775288
 4500.0      -0.0685418346403
 4550.0      -0.0685406609864
 4600.0      -0.0684578029057
 4650.0      -0.0684309048448
 4700.0      -0.0685109718122
 4750.0      -0.0683999761948
 4800.0      -0.0683088643100
 4850.0      -0.0683658323847
 4900.0      -0.0682682431028
 4950.0      -0.0682030782039
 5000.0      -0.0681985702448

#P= 606.000000 GPa
    0.0       0.0000000000000
   50.0       0.2006067572927
  100.0       0.1888422600629
  150.0       0.1515856179098
  200.0       0.1397193349303
  250.0       0.1410328502519
  300.0       0.0965795402674
  350.0       0.1033095232741
  400.0       0.0927031198913
  450.0       0.1000900176916
  500.0       0.1044622057027
  550.0       0.0595889279380
  600.0       0.0664634887639
  650.0       0.0549147694058
  700.0       0.0467964972801
  750.0       0.0393371180296
  800.0       0.0350561750098
  850.0       0.0050877625288
  900.0       0.0298520514651
  950.0      -0.1172918437142
 1000.0      -0.1004284846816
 1050.0       0.0648861567738
 1100.0       0.0335860936669
 1150.0       0.0330851109896
 1200.0      -0.0033833558515
 1250.0      -0.0206253320894
 1300.0      -0.0219044528155
 1350.0      -0.0241435076094
 1400.0      -0.0262928287595
 1450.0      -0.0281481260212
 1500.0      -0.0298800436074
 1550.0      -0.0314450828874
 1600.0      -0.0330265867938
 1650.0      -0.0346137931485
 1700.0      -0.0361047104508
 1750.0      -0.0373540095648
 1800.0      -0.0386280604439
 1850.0      -0.0399794495227
 1900.0      -0.0411108553680
 1950.0      -0.0422152151211
 2000.0      -0.0432093491449
 2050.0      -0.0441344910575
 2100.0      -0.0451626058844
 2150.0      -0.0462541445155
 2200.0      -0.0471463729639
 2250.0      -0.0476972986582
 2300.0      -0.0486898952227
 2350.0      -0.0494698933870
 2400.0      -0.0500646340905
 2450.0      -0.0507950097475
 2500.0      -0.0515912796585
 2550.0      -0.0521956958295
 2600.0      -0.0526142688852
 2650.0      -0.0532312360517
 2700.0      -0.0538939123373
 2750.0      -0.0542927498025
 2800.0      -0.0547896955960
 2850.0      -0.0552982664817
 2900.0      -0.0558331993786
 2950.0      -0.0560468922435
 3000.0      -0.0564433653660
 3050.0      -0.0570934965651
 3100.0      -0.0572868314330
 3150.0      -0.0576004319299
 3200.0      -0.0580640712774
 3250.0      -0.0582769135672
 3300.0      -0.0584933616239
 3350.0      -0.0588600150426
 3400.0      -0.0591427491044
 3450.0      -0.0592999374071
 3500.0      -0.0595579129997
 3550.0      -0.0599303996046
 3600.0      -0.0600238748340
 3650.0      -0.0601566632609
 3700.0      -0.0604578668927
 3750.0      -0.0605760693295
 3800.0      -0.0607041429573
 3850.0      -0.0609250964805
 3900.0      -0.0610424723608
 3950.0      -0.0611606610735
 4000.0      -0.0612977099831
 4050.0      -0.0614046588983
 4100.0      -0.0615068984106
 4150.0      -0.0615533098287
 4200.0      -0.0616944206921
 4250.0      -0.0617726910244
 4300.0      -0.0617932977237
 4350.0      -0.0619027478982
 4400.0      -0.0619537470105
 4450.0      -0.0619722950472
 4500.0      -0.0620634458001
 4550.0      -0.0621067944153
 4600.0      -0.0620766327706
 4650.0      -0.0620980970863
 4700.0      -0.0622137285129
 4750.0      -0.0621554365574
 4800.0      -0.0621143554562
 4850.0      -0.0622064324332
 4900.0      -0.0621571839829
 4950.0      -0.0621368641958
 5000.0      -0.0621718660797

#P= 608.000000 GPa
    0.0       0.0000000000000
   50.0       0.2049252144867
  100.0       0.1934082298965
  150.0       0.1572442103015
  200.0       0.1448237544080
  250.0       0.1439309191827
  300.0       0.1043666582749
  350.0       0.1093181929134
  400.0       0.0983454400767
  450.0       0.1036464957149
  500.0       0.1070257699965
  550.0       0.0672907348352
  600.0       0.0724958270277
