# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
 1800.0    1856.6248836256470
 1850.0    1865.0031194152180
 1900.0    1873.4168262608484
 1950.0    1881.8198279753897
 2000.0    1890.2545500845449
 2050.0    1898.6707679244030
 2100.0    1907.1183766953836
 2150.0    1915.5681939209255
 2200.0    1924.0642258172018
 2250.0    1932.5331774176966
 2300.0    1941.0191033887284
 2350.0    1949.5242161767496
 2400.0    1958.0342751679891
 2450.0    1966.5432154731714
 2500.0    1975.0763408290902
 2550.0    1983.6216130671198
 2600.0    1992.1675412153845
 2650.0    2000.7046847823312
 2700.0    2009.2697550287637
 2750.0    2017.8350538758318
 2800.0    2026.4015779539639
 2850.0    2034.9802783760454
 2900.0    2043.5680977013885
 2950.0    2052.1654518832188
 3000.0    2060.7389029997275
 3050.0    2069.3492365937418
 3100.0    2077.9651240168855
 3150.0    2086.5709350953275
 3200.0    2095.1916806785866
 3250.0    2103.8235783373061
 3300.0    2112.4414277134201
 3350.0    2121.0709857250426
 3400.0    2129.7072474843021
 3450.0    2138.3461909990060
 3500.0    2146.9800692296540
 3550.0    2155.6346588868796
 3600.0    2164.2969273961221
 3650.0    2172.9423680546502
 3700.0    2181.6020679064522
 3750.0    2190.2686795002123
 3800.0    2198.9291333738165
 3850.0    2207.5978106955995
 3900.0    2216.2736455825689
 3950.0    2224.9477567286899
 4000.0    2233.6268961674605
 4050.0    2242.3075088078144
 4100.0    2250.9908781892418
 4150.0    2259.6744541296612
 4200.0    2268.3594259869406
 4250.0    2277.0539737491222
 4300.0    2285.7420339197643
 4350.0    2294.4361131352684
 4400.0    2303.1337949886047
 4450.0    2311.8300814155241
 4500.0    2320.5277775194709
 4550.0    2329.2358637105890
 4600.0    2337.9413680125494
 4650.0    2346.6425278996298
 4700.0    2355.3495821180527
 4750.0    2364.0684940088468
 4800.0    2372.7674887984967
 4850.0    2381.4809051978386
 4900.0    2390.1958157878371
 4950.0    2398.9077336900777
 5000.0    2407.6226291328303
# P = 608.000000 (GPa)
    1.0    1636.5575368142545
   50.0    1638.6656054461243
  100.0    1641.7851524292753
  150.0    1644.9927610853122
  200.0    1649.0480859887853
  250.0    1651.5368594585759
  300.0    1654.6121863459027
  350.0    1660.6482085403286
  400.0    1663.1675892831768
  450.0    1668.0443659522934
  500.0    1668.3586634089593
  550.0    1673.0540550589960
  600.0    1677.5080891239381
