# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 158.1140     -0.954571678
 153.3900     -0.950543313
 148.7330     -0.943243735
 144.1450     -0.934417354
 139.6910     -0.922068993
 135.3720     -0.907674804
 131.0530     -0.889280818
 126.8690     -0.868093148
 122.7520     -0.841825392
 118.7710     -0.813294874
 114.8570     -0.778363355
# T= 1600.000000 K
 188.6160     -0.962435418
 178.0210     -0.969159488
 167.8990     -0.966596729
 162.9050     -0.966213091
 158.1140     -0.962693253
 153.3900     -0.958602337
 148.7330     -0.951173984
 144.1450     -0.942276241
 139.6910     -0.929824969
 135.3720     -0.915377618
 131.0530     -0.896905524
 126.8690     -0.875688274
 122.7520     -0.849339327
 118.7710     -0.820864714
 114.8570     -0.785890951
# T= 1700.000000 K
 188.6160     -0.971868064
 178.0210     -0.978293900
 167.8990     -0.975180420
 162.9050     -0.974722920
 158.1140     -0.971049311
 153.3900     -0.966895646
 148.7330     -0.959338186
 144.1450     -0.950368455
 139.6910     -0.937814349
 135.3720     -0.923313216
 131.0530     -0.904762806
 126.8690     -0.883515537
 122.7520     -0.857085043
 118.7710     -0.828666114
 114.8570     -0.793648766
# T= 1800.000000 K
 188.6160     -0.981522764
 178.0210     -0.987650079
 167.8990     -0.983985577
 162.9050     -0.983453977
 158.1140     -0.979626383
 153.3900     -0.975409809
 148.7330     -0.967722957
 144.1450     -0.958680681
 139.6910     -0.946023851
 135.3720     -0.931468385
 131.0530     -0.912839503
 126.8690     -0.891561844
 122.7520     -0.865049516
 118.7710     -0.836686108
 114.8570     -0.801623963
# T= 1900.000000 K
 188.6160     -0.991387326
 178.0210     -0.997215879
 167.8990     -0.993000114
 162.9050     -0.992394204
 158.1140     -0.988412445
 153.3900     -0.984132833
 148.7330     -0.976316345
 144.1450     -0.967201020
 139.6910     -0.954441597
 135.3720     -0.939831309
 131.0530     -0.921123839
 126.8690     -0.899815471
 122.7520     -0.873221080
 118.7710     -0.844913073
 114.8570     -0.809805029
# T= 2000.000000 K
 188.6160     -1.001450823
 178.0210     -1.006980407
 167.8990     -1.002213184
 162.9050     -1.001532781
 158.1140     -0.997396704
