# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 188.616000 (a.u.^3)
 2000.0      49.5694336190683
 2100.0      49.5927315610631
 2200.0      49.6126085064304
 2300.0      49.6294400918087
 2400.0      49.6420756182415
 2500.0      49.6553709148064
 2600.0      49.6689718561283
 2700.0      49.6713280865158
 2800.0      49.6886835824516
 2900.0      49.6869514243984
 3000.0      49.6936647203694
 3100.0      49.7061167447478
 3200.0      49.6986233202984
 3300.0      49.7219900236440
 3400.0      49.6966740948045
 3500.0      49.7246537258006
 3600.0      49.7130587582017
 3700.0      49.7123746101181
 3800.0      49.7377038748645
 3900.0      49.6874875187942
 4000.0      49.7574394745542
 4100.0      49.6789736804917
 4200.0      49.7419572147562
 4300.0      49.7160820037643
 4400.0      49.7492592320855
 4500.0      49.4536093491377
 4600.0      50.7929993098348
 4700.0      45.6678893098942
 4800.0      64.8579888781622
 4900.0      -7.4829147662943
 5000.0     -58.0773924421718
 5100.0      62.8201724709314
 5200.0      52.5184709423392
 5300.0      55.5148965344830
 5400.0      47.3948466569538
 5500.0      54.6728537690239
 5600.0      50.1874835110521
 5700.0      56.6532854011692
 5800.0      47.1015750595718
 5900.0      57.9166931381608
 6000.0      69.0708967068133
# V= 187.125919 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.3087270406795
  200.0      34.7490942472124
  300.0      40.0662286800744
  400.0      44.2529830669821
  500.0      45.8899482490262
  600.0      47.0815337322125
  700.0      47.7575837503955
  800.0      48.2358334632838
  900.0      48.5611783226739
 1000.0      48.8008228658245
 1100.0      48.9776882419841
 1200.0      49.1134950167002
 1300.0      49.2202727244259
 1400.0      49.3034460633335
 1500.0      49.3719497829033
 1600.0      49.4271485240526
 1700.0      49.4726550812334
 1800.0      49.5111361822191
 1900.0      49.5424820839728
 2000.0      49.5694392831697
 2100.0      49.5927973903685
 2200.0      49.6127304810363
 2300.0      49.6296170629373
 2400.0      49.6423210198425
 2500.0      49.6556618987606
 2600.0      49.6692881555421
 2700.0      49.6717488720992
 2800.0      49.6890779528988
 2900.0      49.6874598023746
 3000.0      49.6942190739334
 3100.0      49.7066500754027
 3200.0      49.6992961812916
 3300.0      49.7225665961821
 3400.0      49.6974961777501
 3500.0      49.7253419182988
 3600.0      49.7138851010534
 3700.0      49.7132739411499
 3800.0      49.7384549123404
 3900.0      49.6886784372239
 4000.0      49.7581520564213
 4100.0      49.6803234728381
 4200.0      49.7428689711900
 4300.0      49.7172606460254
 4400.0      49.7502009692515
 4500.0      49.4567861497280
 4600.0      50.7863775258911
 4700.0      45.6989744181775
 4800.0      64.7479917275122
 4900.0      -7.0607683044495
 5000.0     -57.2689293662925
 5100.0      62.7171368092629
 5200.0      52.5169407760684
 5300.0      55.4851297118644
 5400.0      47.4185874020728
 5500.0      54.6284831714258
 5600.0      50.2175296347207
 5700.0      56.5988609980967
 5800.0      47.1388943647790
 5900.0      57.8617833338585
 6000.0      68.9206095711096
# V= 186.380879 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.2925346475256
  200.0      34.7332508227749
  300.0      40.0563367329495
  400.0      44.2462590489130
  500.0      45.8853609361038
  600.0      47.0781892127213
  700.0      47.7550873486667
  800.0      48.2339075056518
  900.0      48.5596746766360
 1000.0      48.7996214227080
 1100.0      48.9767314037961
 1200.0      49.1127282612177
 1300.0      49.2196551566239
 1400.0      49.3029635953811
 1500.0      49.3715728013938
 1600.0      49.4268661647911
 1700.0      49.4724577080530
 1800.0      49.5110094825311
 1900.0      49.5424274103520
 2000.0      49.5694465488085
 2100.0      49.5928595699267
 2200.0      49.6128439157489
 2300.0      49.6297807151412
 2400.0      49.6425471735403
 2500.0      49.6559296913342
 2600.0      49.6695790769885
 2700.0      49.6721352542714
 2800.0      49.6894402241341
 2900.0      49.6879262390094
 3000.0      49.6947275438577
 3100.0      49.7071393626725
 3200.0      49.6999129599059
 3300.0      49.7230954808956
 3400.0      49.6982493301066
 3500.0      49.7259728467088
 3600.0      49.7146422478854
 3700.0      49.7140978196191
 3800.0      49.7391433862808
 3900.0      49.6897687431497
 4000.0      49.7588055380844
 4100.0      49.6815589959227
 4200.0      49.7437044765190
 4300.0      49.7183399913280
 4400.0      49.7510640171072
 4500.0      49.4596903869723
 4600.0      50.7803334982749
 4700.0      45.7273654851756
 4800.0      64.6475424406614
 4900.0      -6.6752486250122
 5000.0     -56.5305962629004
 5100.0      62.6230765565076
 5200.0      52.5155558720383
 5300.0      55.4579633487909
 5400.0      47.4402920278892
 5500.0      54.5879941183032
 5600.0      50.2449719409854
 5700.0      56.5491856859186
 5800.0      47.1729904385791
 5900.0      57.8116568147379
 6000.0      68.7833855283477
# V= 185.635838 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.2777663606646
  200.0      34.7188150559901
  300.0      40.0473291622636
  400.0      44.2401378005115
  500.0      45.8811856903801
  600.0      47.0751454866408
  700.0      47.7528157717665
  800.0      48.2321552353186
  900.0      48.5583069036685
 1000.0      48.7985287725066
 1100.0      48.9758615002066
 1200.0      49.1120314650303
 1300.0      49.2190942348712
 1400.0      49.3025257656848
 1500.0      49.3712310855267
 1600.0      49.4266106870505
 1700.0      49.4722797094653
 1800.0      49.5108959209501
 1900.0      49.5423795472529
 2000.0      49.5694551912986
 2100.0      49.5929183195906
 2200.0      49.6129494439531
 2300.0      49.6299320854756
 2400.0      49.6427556164757
 2500.0      49.6561761620126
 2600.0      49.6698466740525
 2700.0      49.6724900467558
 2800.0      49.6897730147778
 2900.0      49.6883541816080
 3000.0      49.6951939082089
 3100.0      49.7075882285183
 3200.0      49.7004782915085
 3300.0      49.7235806027287
 3400.0      49.6989392675575
 3500.0      49.7265512396814
 3600.0      49.7153359322553
 3700.0      49.7148525039722
 3800.0      49.7397744660364
 3900.0      49.6907668129805
 4000.0      49.7594047910392
 4100.0      49.6826897735259
 4200.0      49.7444700444746
 4300.0      49.7193282942043
 4400.0      49.7518548881782
 4500.0      49.4623449381541
 4600.0      50.7748183135423
 4700.0      45.7532898112944
 4800.0      64.5558348105515
 4900.0      -6.3232637071936
 5000.0     -55.8564734150500
 5100.0      62.5372324939838
 5200.0      52.5143034255522
 5300.0      55.4331771517986
 5400.0      47.4601314078792
 5500.0      54.5510575810306
 5600.0      50.2700300905027
 5700.0      56.5038573993968
 5800.0      47.2041347417801
 5900.0      57.7659089626296
 6000.0      68.6581208047926
# V= 184.890798 (a.u.^3)
