# P (GPa)             V (a.u.^3)
# T= 0.000000 K
-18.7243204737911     188.6160000000000
-18.3139430392971     187.8709595959596
-17.8952983691279     187.1259191919192
-17.4681860373323     186.3808787878788
-17.0323998691054     185.6358383838384
-16.5877278509626     184.8907979797980
-16.1339518775940     184.1457575757576
-15.6708475803788     183.4007171717172
-15.1981841150693     182.6556767676768
-14.7157239984719     181.9106363636364
-14.2232227736409     181.1655959595960
-13.7204288873895     180.4205555555556
-13.2070833473177     179.6755151515152
-12.6829196156549     178.9304747474748
-12.1476632417904     178.1854343434344
-11.6010315927959     177.4403939393939
-11.0427336084459     176.6953535353535
-10.4724695644043     175.9503131313132
 -9.8899306802569     175.2052727272727
 -9.2947988092039     174.4602323232323
 -8.6867462175785     173.7151919191919
 -8.0654351438834     172.9701515151515
 -7.4305174966496     172.2251111111111
 -6.7816345114651     171.4800707070707
 -6.1184163181770     170.7350303030303
 -5.4404815244270     169.9899898989899
 -4.7474369706715     169.2449494949495
 -4.0388771258986     168.4999090909091
 -3.3143837119930     167.7548686868687
 -2.5735252627724     167.0098282828283
 -1.8158566095308     166.2647878787879
 -1.0409184482410     165.5197474747475
 -0.2482367107739     164.7747070707071
  0.5626778597329     164.0296666666667
  1.3923303294901     163.2846262626263
  2.2412421865052     162.5395858585859
  3.1099518713721     161.7945454545455
  3.9990154958775     161.0495050505050
  4.9090074227858     160.3044646464647
  5.8405210252762     159.5594242424243
  6.7941694055489     158.8143838383838
  7.7705861215984     158.0693434343434
  8.7704258731555     157.3243030303030
  9.7943656204282     156.5792626262626
 10.8431050168985     155.8342222222222
 11.9173676505519     155.0891818181818
 13.0179018033149     154.3441414141414
 14.1454814554704     153.5991010101010
 15.3009073064064     152.8540606060606
 16.4850078443599     152.1090202020202
 17.6986403834971     151.3639797979798
 18.9426923541394     150.6189393939394
 20.2180823643409     149.8738989898990
 21.5257615472768     149.1288585858586
 22.8667148596345     148.3838181818182
 24.2419624698315     147.6387777777778
 25.6525611952287     146.8937373737374
 27.0996060046719     146.1486969696970
 28.5842316516888     145.4036565656566
 30.1076142178602     144.6586161616162
 31.6709730318269     143.9135757575758
 33.2755722534907     143.1685353535354
 34.9227229808387     142.4234949494950
 36.6137851199542     141.6784545454545
 38.3501695735005     140.9334141414141
 40.1333403067156     140.1883737373738
 41.9648167400457     139.4433333333333
 43.8461761581112     138.6982929292929
 45.7790562003322     137.9532525252525
 47.7651574822099     137.2082121212121
 49.8062465105834     136.4631717171717
 51.9041584518991     135.7181313131313
 54.0608003169446     134.9730909090909
 56.2781541537496     134.2280505050505
 58.5582803874735     133.4830101010101
 60.9033214787675     132.7379696969697
 63.3155056066337     131.9929292929293
 65.7971506370944     131.2478888888889
 68.3506681980187     130.5028484848485
 70.9785682030784     129.7578080808081
 73.6834632368829     129.0127676767677
 76.4680736097237     128.2677272727273
 79.3352321918380     127.5226868686869
 82.2878901051009     126.7776464646465
 85.3291220554137     126.0326060606061
 88.4621324735254     125.2875656565657
 91.6902618028415     124.5425252525253
 95.0169930567103     123.7974848484849
 98.4459588411708     123.0524444444444
101.9809487859993     122.3074040404040
105.6259172125703     121.5623636363636
109.3849915856513     120.8173232323232
113.2624810141938     120.0722828282828
117.2628854625653     119.3272424242424
121.3909057048857     118.5822020202020
125.6514532466998     117.8371616161616
130.0496615042117     117.0921212121212
134.5908971958343     116.3470808080808
139.2807725176746     115.6020404040404
144.1251580866204     114.8570000000000
# T= 100.000000 K
-18.6318673240943     188.6160000000000
-18.2225901255068     187.8709595959596
-17.8050610596289     187.1259191919192
-17.3790799046593     186.3808787878788
-16.9444407307726     185.6358383838384
-16.5009317857956     184.8907979797980
-16.0483351604022     184.1457575757576
-15.5864267881129     183.4007171717172
-15.1149760696597     182.6556767676768
-14.6337457096667     181.9106363636364
-14.1424915859936     181.1655959595960
-13.6409623577691     180.4205555555556
-13.1288993510668     179.6755151515152
-12.6060362567635     178.9304747474748
-12.0720988610622     178.1854343434344
-11.5268048495081     177.4403939393939
-10.9698634558512     176.6953535353535
-10.4009751762369     175.9503131313132
 -9.8198315487244     175.2052727272727
 -9.2261147123235     174.4602323232323
 -8.6194972191768     173.7151919191919
 -7.9996416017627     172.9701515151515
 -7.3662000462555     172.2251111111111
 -6.7188140903846     171.4800707070707
 -6.0571141661388     170.7350303030303
 -5.3807192159652     169.9899898989899
 -4.6892363171336     169.2449494949495
 -3.9822603061016     168.4999090909091
 -3.2593731742313     167.7548686868687
 -2.5201437738139     167.0098282828283
 -1.7641272791148     166.2647878787879
 -0.9908646555844     165.5197474747475
 -0.1998821780649     164.7747070707071
  0.6093090999987     164.0296666666667
  1.4372139508415     163.2846262626263
  2.2843535113336     162.5395858585859
  3.1512659280935     161.7945454545455
  4.0385069617705     161.0495050505050
  4.9466506893195     160.3044646464647
  5.8762901981102     159.5594242424243
  6.8280382310395     158.8143838383838
  7.8025279867983     158.0693434343434
  8.8004139854660     157.3243030303030
  9.8223727381213     156.5792626262626
 10.8691036859305     155.8342222222222
 11.9413300902398     155.0891818181818
 13.0397998981701     154.3441414141414
 14.1652868695228     153.5991010101010
 15.3185913607146     152.8540606060606
 16.5005416068367     152.1090202020202
 17.7119946444121     151.3639797979798
 18.9538376424504     150.6189393939394
 20.2269889313623     149.8738989898990
 21.5323994320074     149.1288585858586
 22.8710538642595     148.3838181818182
 24.2439721515564     147.6387777777778
 25.6522109479395     146.8937373737374
 27.0968649936069     146.1486969696970
 28.5790688787665     145.4036565656566
 30.0999985380115     144.6586161616162
 31.6608731121650     143.9135757575758
